id,module,field_family,ppo_purpose,myob_screen_candidate,myob_field_candidate,myob_usage_status,myob_observed_screen,myob_observed_field,api_entity_path,api_status,vendor_example_path,ppo_destination,ppo_destination_status,company_context,data_type,required_when,allowed_values,units_currency,authority,direction,validation,transform,evidence_status,evidence_ref,verified_at,approved_by,approval_ref,source_ids,discovery_question,next_action
MYOB-019,Supply Chain,Product/item identifier,"Connect estimate, demand and purchased part to a source item.",Stock/non-stock items — to confirm,Inventory/item identifier,Unknown — not observed,,,,Not verified,SalesOrder.Details[].InventoryID.value,ERP catalogue observation.item_id,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified text key,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Stock and non-stock types must remain distinct; preserve exact external key.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-06,"Is product/item identifier used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-020,Estimating,Item description,Describe selected catalogue item.,Stock/non-stock items — to confirm,Description,Unknown — not observed,,,,Not verified,,Estimate catalogue source.description,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Text,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Snapshot source description in the estimate revision; later refresh does not alter issued text.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is item description used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-021,Supply Chain,Item classification and status,Prevent use of unavailable or inappropriate items.,Stock/non-stock items — to confirm,Type / class / active status,Unknown — not observed,,,,Not verified,,ERP catalogue observation.classification,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Source enums,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Verify actual classes; stock item is not synonymous with installed equipment.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is item classification and status used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-022,Supply Chain,Base unit of measure,Establish comparable quantities.,Stock/non-stock items — to confirm,Base UOM,Unknown — not observed,,,,Not verified,SalesOrder.Details[].UOM.value,Catalogue source.base_uom,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Source unit code,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,"EA, box, metre and hour require an explicit unit dictionary.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-06,"Is base unit of measure used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-023,Supply Chain,Purchase/sales unit conversion,Handle fittings per box or cable per roll.,Item units — to confirm,Purchase UOM / sales UOM / conversion,Unknown — not observed,,,,Not verified,,Catalogue source.unit_conversions,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Exact decimal + units,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,"Use item-specific effective conversions; prohibit missing, zero or ambiguous conversion factors.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is purchase/sales unit conversion used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-024,Estimating,Cost basis,Supply an evidenced estimate cost input.,Item/vendor pricing — to confirm,Cost type / amount / currency / effective date,Unknown — not observed,,,,Not verified,,Estimate cost source snapshot,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Exact money + basis,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB candidate,MYOB → PPO,"Last cost, average cost and supplier quote differ; choose the authorised basis.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is cost basis used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-025,Estimating,Selling price basis,Use the intended price for this estimate context.,Sales pricing — to confirm,Price / customer / quantity / UOM / currency / validity,Unknown — not observed,,,,Not verified,,Estimate price source snapshot,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Exact money + dimensions,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB candidate,MYOB → PPO,"Verify quantity breaks, discounts and effective dates; do not refresh an issued quotation.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is selling price basis used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-026,Finance,Tax classification,Explain whether compared amounts include tax.,Item/customer tax setup — to confirm,Tax category / zone / treatment,Unknown — not observed,,,,Not verified,,Financial source.tax_basis,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Source code + definition,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Finance approves treatment; HTML does not calculate statutory tax or infer exemptions.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is tax classification used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-027,Supply Chain,Supplier identifier,Relate supplier documents and purchasing to one source vendor.,Vendors — to confirm,Vendor identifier,Unknown — not observed,,,,Not verified,,Supplier external-reference link,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified text key,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Qualify by company; the same trading name is not a duplicate key.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is supplier identifier used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-028,Supply Chain,Supplier item reference,Match Priva-style controller and luminaire part codes without name guessing.,Vendor item cross-reference — to confirm,Supplier part code / manufacturer code,Unknown — not observed,,,,Not verified,,Product supplier-reference crosswalk,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Text,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB candidate,MYOB → PPO,Preserve supplier code and vendor identity; example brand use does not assert field availability.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is supplier item reference used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-029,Supply Chain,Warehouse and bin,Identify the actual source of a part.,Warehouses/locations — to confirm,Warehouse / bin identifier,Unknown — not observed,,,,Not verified,,Material source.warehouse_location,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,A greenhouse facility is not an ERP warehouse. Verify access to each warehouse.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is warehouse and bin used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-030,Supply Chain,Stock quantities and availability,Support readiness with an evidenced quantity and timestamp.,Inventory availability — to confirm,On hand / available / allocated / on order,Unknown — not observed,,,,Not verified,,Material availability observation,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Exact quantities + UOM + cutoff,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Keep quantity definitions separate; a read does not reserve stock.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is stock quantities and availability used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-031,Service,Installed asset identity,Link installed equipment to its source identity.,Equipment/serial records — to confirm,Equipment key / serial / model,Unknown — not observed,,,,Not verified,,Asset.external_equipment_ref + serial + model,Logical contract,Connection + tenant/company + entity + external key; branch where required,Qualified reference + text,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Do not derive asset identity from serial alone; include site/model and explicit review.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is installed asset identity used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-032,Service,Asset location,"Retain movement history for pumps, dosing systems and sensors.",Equipment record — to confirm,Installed site / facility,Unknown — not observed,,,,Not verified,,Asset.site_id + facility_id + AssetLocationEvent,Logical contract,Connection + tenant/company + entity + external key; branch where required,Effective reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",PPO candidate,PPO only / link,Reviewed move reassesses hierarchy and future appointments; preserve old visits.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is asset location used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-033,Service,Warranty dates and coverage,Support an owned warranty decision.,Equipment/contract records — to confirm,Warranty dates / coverage evidence,Unknown — not observed,,,,Not verified,,Asset.warranty_start + warranty_end; coverage reference,Logical contract + proposed coverage link,Connection + tenant/company + entity + external key; branch where required,Dates + source reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Dates alone do not approve free labour/parts; separate supplier and customer obligations.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is warranty dates and coverage used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-034,Service,Service order source key,Reconcile operational work with an ERP order if required.,Service orders — to confirm,Service order type / number / status,Unknown — not observed,,,,Not verified,,WorkOrder external-reference link,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified reference + status,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,D-007 must choose the writer; a ticket is not a work order.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is service order source key used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-035,Service,Appointment source key,Coordinate visits without duplicate schedules.,Appointments — to confirm,Appointment number / order link / status,Unknown — not observed,,,,Not verified,,Appointment external-reference link,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified reference + status,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,D-007; actual attendance and scheduling confirmation are distinct.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is appointment source key used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-036,Service,Captured and reviewed labour,"Carry original, reviewed and billable quantities with attribution.",Service time — to confirm,Employee/resource / date / duration,Unknown — not observed,,,,Not verified,,Field evidence → approved handoff allocation,Logical contract,Connection + tenant/company + entity + external key; branch where required,Exact duration + unit,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,"Captured, approved, billable and ERP-processed time must not collapse into one field.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is captured and reviewed labour used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-037,Service,Consumed and issued parts,Reconcile physical use with approved stock consequences.,Service/inventory lines — to confirm,Item / consumed quantity / warehouse issue,Unknown — not observed,,,,Not verified,,Reviewed parts evidence → target-line mapping,Logical contract,Connection + tenant/company + entity + external key; branch where required,Exact quantity + UOM,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Technician consumption does not establish an ERP stock issue; prevent duplicate effects.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is consumed and issued parts used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-038,Service,Report and acceptance references,Trace the exact reviewed evidence supporting Finance.,No direct ERP equivalent established,Completion / attachment / acknowledgement references,Unknown — not observed,,,,Not verified,,Report revision + customer response + handoff manifest,Logical contract,Connection + tenant/company + entity + external key; branch where required,Immutable references,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",PPO candidate,PPO only / link,"Attendance acceptance, report response and finance approval remain separate.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is report and acceptance references used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-039,Projects,Project source identifier,Associate coordination with the correct accounting project.,Projects — to confirm,Project identifier / status,Unknown — not observed,,,,Not verified,,Project external-reference link,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified text key,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB candidate,MYOB → PPO,Do not create an ERP project merely because a CRM deal is Won.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is project source identifier used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
