requirement_id,requirement,disposition,prototype_boundary,specification,prototype_test_ids,implementation_ids,existing_backlog_ids,implementation_status,test_status,source
PRJ-06,"Manage inspection/test plans, defects, retests and staged acceptance",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-012,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-07,Produce approved stakeholder updates and delivery forecasts,Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-012,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-08,"Complete technical, commercial and service handover",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-012,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-01,"Capture and triage tickets against customers, sites and assets",Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-04,P01;P03,PPO-005,P01 component implemented; full requirement incomplete,P01 components passed; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-02,Manage authorised work orders separately from tickets and appointments,Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-05;PT-14,P04;P09,PPO-005;PPO-002,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-03,"Assemble, check, issue and acknowledge revision-controlled job packs",Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-06;PT-07,P06,PPO-005,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-04,Provide a visual drag-and-drop dispatch planner,Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-08;PT-09;PT-10;PT-27,P05,PPO-005,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-05,Control rescheduling and reassignment,Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-08;PT-10;PT-26,P05,PPO-005,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-06,Present relevant site/asset history and technical context,Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-02;PT-03;PT-25;PT-30,P03;P07,PPO-005;PPO-003,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-07,Support appropriate offline preparation and field capture,Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-11;PT-12;PT-24;PT-28,P08,PPO-005;PPO-008,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-08,"Capture time, travel, breaks, waiting and task labour",Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-13;PT-17,P07;P09;P10,PPO-005,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-09,"Record parts consumption, returns and further requirements",Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-13;PT-17,P07;P10,PPO-005,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-10,"Capture inspections, photos, readings, findings and service reports",Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-13;PT-14;PT-23,P07;P09,PPO-005,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-11,Capture customer acknowledgement and exceptions,Core,Included synthetic workflow; real source/policy validation remains separate,docs/blueprints/BP-07-service-operations.md,PT-15;PT-16,P09,PPO-005,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-12,"Manage recurring maintenance, warranty, renewals and follow-up",Partial,Manual coverage/follow-up and effective context; recurrence/warranty/renewal automation deferred,docs/blueprints/BP-07-service-operations.md,PT-05;PT-14;PT-25,P04;P09,PPO-005;PPO-015,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-01,"Link forecast and approved demand to projects, orders and service work",Partial,Service material requirement as owned request/reference; forecasting/order bridge later,docs/blueprints/BP-07-service-operations.md,PT-13;PT-14,P04;P07,PPO-013,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-02,"Display ERP items, warehouses, availability and purchasing references",Partial,Synthetic item/stock references; live warehouse/availability interfaces later,docs/contracts/service-data-dictionary.md,PT-13;PT-17,P07;P10,PPO-013,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-03,"Manage requisitions, approvals, supplier quotations and procurement exceptions",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-013,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-04,"Track supplier commitments, manufacturing milestones and technical deliverables",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-013,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-05,Track inbound shipments and their line-level allocations,Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-013,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-06,"Coordinate receipt, inspection, shortages, damage, quarantine and partial delivery",Partial,Material readiness/unknown/shortage evidence only; receiving/inspection transaction workflow later,docs/blueprints/BP-07-service-operations.md,PT-04;PT-13,P04;P07,PPO-013,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-07,"Coordinate picking, dispatch, delivery, returns and supplier claims",Partial,Field consumed/returned/required/removed evidence; fulfilment/claims/credits later,docs/blueprints/BP-07-service-operations.md,PT-13;PT-17,P07;P10,PPO-013,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-08,Report material readiness and change impacts to delivery/service,Partial,Appointment readiness and review impacts; broader procurement/logistics reporting later,docs/blueprints/BP-07-service-operations.md,PT-04;PT-07;PT-10,P04;P05;P06,PPO-013,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-01,Display authorised customer-account transactions and balances,Partial,Synthetic FD-01/FD-02 account observations; live verified views later,docs/contracts/finance-handoff.md,PT-01;PT-20;PT-21,P10,PPO-006,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-02,"Link invoices, payments, credits, deposits and applications",Partial,Synthetic payment/credit/unapplied/reversal cases; actual source applications later,docs/contracts/finance-handoff.md,PT-20;PT-21,P10,PPO-006,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-03,"Support financial review of orders, work and commercial exceptions",Partial,FD-10 reviewed service handoff; broader order/commercial policies later,docs/contracts/finance-handoff.md,PT-17;PT-19,P10,PPO-006,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-04,"Display project budget, actuals, commitments and operational forecasts",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-006,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-05,"Coordinate milestone claim evidence, approved variations and relevant contract obligations",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-006,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-06,"Reconcile imports, updates and dashboard measures",Partial,Synthetic completeness and handoff reconciliation; full ERP/dashboard reconciliation later,docs/contracts/finance-handoff.md,PT-17;PT-19;PT-20;PT-21,P10,PPO-006,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-07,"Maintain financial measure definitions, currency and tax treatment",Partial,Explicit fixture units/currency/basis; operational tax/rounding/definition approval unresolved,docs/contracts/finance-handoff.md,PT-20;PT-21,P10,PPO-006,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-08,"Provide approved profitability, cash-timing and exception views",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-006,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-01,Link controlled documents using stable repository identifiers,Core,Exact synthetic document/reference/issue contract; real SharePoint proof remains separate,docs/contracts/document-issue-distribution.md,PT-06;PT-07;PT-18;PT-23,P06;P09,PPO-007,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-02,"Separate working versions, approved revisions and issued records",Core,Exact synthetic document/reference/issue contract; real SharePoint proof remains separate,docs/contracts/document-issue-distribution.md,PT-06;PT-07;PT-18;PT-23,P06;P09,PPO-007,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-03,"Generate approved quotation, job-pack, service and handover outputs",Partial,OUT-09/OUT-10/OUT-14 only; quotations and other outputs deferred,docs/contracts/document-issue-distribution.md,PT-06;PT-15;PT-17;PT-23,P06;P09;P10,PPO-007,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-04,Maintain approved knowledge and technical reference content,Partial,Reviewed technical/history references; full knowledge governance later,docs/contracts/document-issue-distribution.md,PT-18;PT-23,P06,PPO-007,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-05,"Manage communication drafts, approval, distribution and delivery outcomes",Partial,Internal/manual/simulated distribution facts; real communication integration later,docs/contracts/document-issue-distribution.md,PT-06;PT-10;PT-15,P05;P06;P09,PPO-007,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-06,"Apply access, retention and confidentiality to files and search results",Partial,Access/confidentiality and synthetic recovery; real retention/hold configuration unresolved,docs/contracts/document-issue-distribution.md,PT-01;PT-18;PT-22;PT-24,P06;P08;P11;P12,PPO-007;PPO-008,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-01,Enforce identity and action/record-level authorisation on the server,Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-01,P01;P02;P08;P11;P12,PPO-008,P02 shared component verified; full requirement incomplete,P02 components passed; evidence in p02-handover; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-02,Preserve attributable audit for material changes and approvals,Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-08;PT-13;PT-19;PT-30,P01;P02;P08;P11;P12,PPO-008,P02 shared component verified; full requirement incomplete,P02 components passed; evidence in p02-handover; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-03,"Protect credentials and information in transit, storage and device caches",Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-01;PT-18;PT-24,P01;P02;P08;P11;P12,PPO-008,P02 shared component verified; full requirement incomplete,P02 components passed; evidence in p02-handover; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-04,Meet agreed response times under representative load,Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-27,P01;P02;P08;P11;P12,PPO-008,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-05,Provide useful degraded operation and visible external outages,Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-19;PT-21;PT-29,P01;P02;P08;P11;P12,PPO-008,P02 shared component verified; full requirement incomplete,P02 components passed; evidence in p02-handover; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-06,Meet agreed recovery and data-loss objectives,Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-22,P01;P02;P08;P11;P12,PPO-008,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-07,Preserve offline input and resolve synchronisation safely,Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-11;PT-12;PT-24,P01;P02;P08;P11;P12,PPO-008,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-08,Support accessible complete workflows,Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-27;PT-29,P01;P02;P08;P11;P12,PPO-008,P02 shared component verified; full requirement incomplete,P02 components passed; evidence in p02-handover; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-09,Prevent duplicate or conflicting material commands,Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-08;PT-09;PT-12;PT-19,P01;P02;P08;P11;P12,PPO-008,P02 shared component verified; full requirement incomplete,P02 components passed; evidence in p02-handover; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-10,"Apply approved retention, export and deletion policies",Partial,Design retention/recovery boundaries and synthetic controls; operational policy unresolved,docs/architecture/BP-02-platform-architecture.md,PT-18;PT-22;PT-24,P08;P11;P12,PPO-008,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-11,"Provide monitoring, operational alerts and support diagnostics",Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-19;PT-21;PT-29,P01;P02;P08;P11;P12,PPO-008,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-12,Support maintainable releases and data portability,Core,Prototype design/proof obligation; operational targets and readiness not approved,docs/architecture/BP-02-platform-architecture.md,PT-22;PT-28;PT-30,P01;P02;P08;P11;P12,PPO-008;PPO-004;PPO-016,P01 component implemented; full requirement incomplete,P01 components passed; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
