document_id,title,canonical_path,revision,status,owner,source_commit,legacy_names,supersedes,versioning,last_labelled_revision
PPO-NAV-ICONS-VSCODE-PROMPT,Department navigation implementation prompt,docs/reference/ui/application-shell/PPO-Department-Navigation-Icons-VS-Code-Implementation-Prompt-r01.md,r01,Issued source retained unchanged; current user concurrency instruction governs,Dean Fiedler,9fa8bd5a40232e4f432b431a235bdb34a9dbbebe,,,retained-record,
PPO-DEPARTMENT-NAV-DEC,Department navigation icons,docs/decisions/department-navigation-icons.md,r01,Implemented on isolated branch; owner visual acceptance separate,Dean Fiedler,9fa8bd5a40232e4f432b431a235bdb34a9dbbebe,,,retained-record,
PPO-DEPARTMENT-NAV-HO,Department navigation implementation handover,docs/delivery/department-navigation-icons.md,r01,Local verification and withheld capabilities recorded; no deployment,Dean Fiedler,c01106a884f50c2060da36333c218f93228563bf,,,retained-record,
PPO-DEPARTMENT-NAV-COVERAGE,Department navigation destination coverage,docs/delivery/department-navigation-coverage.md,r01,Derived canonical ordering and readiness; business acceptance separate,Dean Fiedler,c01106a884f50c2060da36333c218f93228563bf,,,retained-record,
PPO-UI-DESIGN-INDEX,HTML design index and maintenance guide,docs/reference/ui/README.md,r10,Repository inventory; native fertigation and ES-08 geometry reference additions; individual approvals separate,Dean Fiedler,108b1600152ee12443c75ffaf7feb7cc857316f5,,,retained-record,
PPO-011-ENG-DEC,Accepted Engineering r02 integration,docs/decisions/engineering-r02-integration.md,r01,Authorised first implementation,Dean Fiedler,e1ffbf28696f30be29d230351ab3be7f366862a2,,,retained-record,
PPO-011-ENG-HO,Engineering intake implementation handover,docs/delivery/engineering-intake-handover.md,r01,Public branch publication authorised; native integration assurance pending,Dean Fiedler,e1ffbf28696f30be29d230351ab3be7f366862a2,,,retained-record,
PPO-012-GANTT-DEC,Approved Projects Gantt integration,docs/decisions/projects-gantt-integration.md,r02,Authorised bounded integration,Dean Fiedler - prototype owner,6e2951e49f41e2b980da6885357230ef310f8198,,,retained-record,
PPO-012-GANTT-HO,Projects Gantt integration handover,docs/delivery/projects-gantt-integration.md,r02,Committed locally; publication approval pending,Dean Fiedler - prototype owner,6e2951e49f41e2b980da6885357230ef310f8198,,,retained-record,
PPO-STD-001,"Naming, Identification & Information Organisation Standard",docs/standards/naming-conventions.md,,Adopted,Dean Fiedler - private prototype,42383fc2e3a85f6cf9c38c829683b14787578579,powerplants-one-naming-standard.md,,git,r04
BP-01,Master Business & Build Blueprint,docs/blueprints/BP-01-master-blueprint.md,,Working design with adopted CRM and product quality scope; runtime acceptance separate,Dean Fiedler - private prototype,,docs/blueprints/GEN_SPC_PPABusinessPlatform_MasterBlueprint.md,,git,r06
BP-02,Platform Solution Architecture,docs/architecture/BP-02-platform-architecture.md,,Bounded P11 quality implementation; exact verification and publication in handover,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,git,r13
BP-03,CRM Functional & Build Blueprint,docs/blueprints/BP-03-crm.md,,Accepted r02 product scope; implementation evidence separate; H-01â€“H-03 unresolved,Dean Fiedler - private prototype,,,,git,r06
BP-04,Estimating & Quotation Functional & Build Blueprint,docs/blueprints/BP-04-estimating-quotation.md,,Proposed discovery/design; acceptance open,Dean Fiedler - private prototype,c3ac9b2ab9c09308f620a5b451a337eb75fe6390,,,git,r01
BP-05,Engineering & Design Control Functional & Build Blueprint,docs/blueprints/BP-05-engineering-design-control.md,,Planned,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,git,
BP-06,Projects & Commercial Delivery Functional & Build Blueprint,docs/blueprints/BP-06-projects-commercial-delivery.md,,Bounded discovery/design; implementation and source transition open,Dean Fiedler - private prototype,1f13dd8d6f5006559152fe9d5410aed3fff64234,,,git,r01
BP-07,Service Operations Functional & Build Blueprint,docs/blueprints/BP-07-service-operations.md,,P11 integrated quality implementation; full procedure limits and publication in handover,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,git,r09
BP-08,Supply Chain Management Functional & Build Blueprint,docs/blueprints/BP-08-supply-chain.md,,Planned,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,git,
BP-09,Finance & Commercial Controls Functional & Build Blueprint,docs/blueprints/BP-09-finance-commercial-controls.md,,Planned,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,git,
PP-01,First Prototype Definition & Architecture,docs/prototype/README.md,,Design package,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,git,v01
ADR-0001,Personal private prototype repository,docs/decisions/ADR-0001-personal-private-prototype.md,,Adopted,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,retained-record,
ADR-0002,Stable working specification filenames,docs/decisions/ADR-0002-stable-specification-filenames.md,,Adopted,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,retained-record,
ADR-0003,Prototype application architecture,docs/decisions/ADR-0003-prototype-architecture.md,,Design recommendation,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,retained-record,
ADR-0004,Synthetic service authority and bounded offline scope,docs/decisions/ADR-0004-service-authority-and-offline-scope.md,,Adopted,Dean Fiedler - private prototype,c44321e8cbbe205a482e38499016f396e2f6374d,,,retained-record,
ADR-0005,Independent project naming and repository adoption,docs/decisions/ADR-0005-project-naming-adoption.md,,Adopted,Dean Fiedler - private prototype,,,,retained-record,
ADR-0006,P01 local foundation implementation,docs/decisions/ADR-0006-p01-local-foundation.md,,Implemented local P01 decision,Dean Fiedler - private prototype,,,,retained-record,
P01-HO,Application foundation handover,docs/delivery/p01-handover.md,r01,Verified P01 component handover,Dean Fiedler - private prototype,,,,retained-record,
ADR-0007,P02 shared data foundation,docs/decisions/ADR-0007-p02-shared-foundation.md,,Implemented P02 decision,Dean Fiedler - private prototype,,,,retained-record,
P02-HO,Shared data foundation handover,docs/delivery/p02-handover.md,r01,Verified P02 component handover,Dean Fiedler - private prototype,,,,retained-record,
ADR-0008,P03 customer context intake and owned follow-up,docs/decisions/ADR-0008-p03-customer-intake.md,,Implemented P03 decision,Dean Fiedler - private prototype,,,,retained-record,
P03-HO,Customer context intake and owned follow-up handover,docs/delivery/p03-handover.md,r01,P03 verified component handover,Dean Fiedler - private prototype,,,,retained-record,
ADR-0009,P04 work scope coverage and readiness,docs/decisions/ADR-0009-p04-work-scope-readiness.md,,P04 component verified; publication in handover,Dean Fiedler - private prototype,,,,retained-record,
P04-HO,Work scope coverage and readiness handover,docs/delivery/p04-handover.md,r01,P04 component verified; publication in handover,Dean Fiedler - private prototype,,,,retained-record,
ADR-0011,P06 controlled job packs,docs/decisions/ADR-0011-p06-controlled-job-packs.md,,P06 implemented; final evidence in handover,Dean Fiedler - private prototype,,,,retained-record,
P06-HO,Job pack generation issue and acknowledgement handover,docs/delivery/p06-handover.md,r01,P06 implemented; final evidence in handover,Dean Fiedler - private prototype,,,,retained-record,
ADR-0012,P07 online field evidence,docs/decisions/ADR-0012-p07-online-field-evidence.md,,P07 implementation; verification/publication in handover,Dean Fiedler - private prototype,,,,retained-record,
P07-HO,Technician online workflow and capture handover,docs/delivery/p07-handover.md,r01,P07 implementation; verification/publication in handover,Dean Fiedler - private prototype,,,,retained-record,
ADR-0013,P08 durable offline evidence and restricted recovery,docs/decisions/ADR-0013-p08-offline-recovery.md,,P08 implementation; verification/publication in handover,Dean Fiedler - private prototype,,,,retained-record,
P08-HO,Offline queue and exception recovery handover,docs/delivery/p08-handover.md,r01,P08 implementation; verification/publication in handover,Dean Fiedler - private prototype,,,,retained-record,
P09-START,Review report and customer acknowledgement starter,docs/delivery/p09-starter-prompt.md,r02,P09 separately authorised; current handover governs delivery,Dean Fiedler - private prototype,,,,retained-record,
ADR-0014,P09 exact completion review and customer reports,docs/decisions/ADR-0014-p09-service-reports.md,,P09 implemented; exact verification/publication in its handover,Dean Fiedler - private prototype,,,,retained-record,
P09-HO,Service review controlled reports and customer acknowledgement handover,docs/delivery/p09-handover.md,r01,P09 implemented; exact verification/publication in its handover,Dean Fiedler - private prototype,,,,retained-record,
P10-START,Finance handoff and account simulation starter,docs/delivery/p10-starter-prompt.md,r01,Separately authorised P10; current handover governs implementation and publication,Dean Fiedler - private prototype,,,,retained-record,
PPO-009-PAR,CRM Pipedrive parity and evidence assessment,docs/blueprints/crm-parity.md,,Accepted product scope and deferrals; account and operational parity unverified,Dean Fiedler - private prototype,,,,git,r04
PPO-009-SCR,CRM screen specification and synthetic walkthrough,docs/blueprints/crm-screen-specification.md,,Handover design proposed under issue 55; H-01â€“H-03 unresolved; no transfer implementation,Dean Fiedler - private prototype,6afdb9d59c05f530b01f63929e97a8a58edd3093,,,git,r06
PPO-009-PLAN,CRM ordered implementation sequence,docs/delivery/crm-implementation-plan.md,,Accepted r02 remaining-work priorities; prior I1/I2 evidence retained,Dean Fiedler - private prototype,,,,git,r07
PPO-009-HO,CRM discovery and design handover,docs/delivery/crm-discovery-handover.md,r01,Design only; publication evidence in CRM handover,Dean Fiedler - private prototype,85bd2fcc388495cc24dc2ee4f273accc49da2f24,,,retained-record,
PPO-009-I1-START,First CRM implementation starter,docs/delivery/crm-first-increment-starter.md,r01,Design only; publication evidence in CRM handover,Dean Fiedler - private prototype,85bd2fcc388495cc24dc2ee4f273accc49da2f24,,,retained-record,
PPO-MYWORK-DES,My Work and Action Centre design,docs/decisions/my-work-action-centre-design.md,,Authorised standalone design; owner acceptance and application integration pending,Dean Fiedler,a4061c43b11d6a53604ec628cdf370ee72f54f7a,,,git,r01
PPO-MYWORK-UI,My Work and Action Centre interactive workspace,docs/reference/ui/my-work/PPO-My-Work-and-Action-Centre-r01.html,r01,Interactive design for review; application integration separate,Dean Fiedler,a4061c43b11d6a53604ec628cdf370ee72f54f7a,,,retained-record,
PPO-MYWORK-RPT,My Work and Action Centre detailed report,docs/reference/ui/my-work/PPO-My-Work-and-Action-Centre-Report-r01.md,r01,Companion design report; owner acceptance separate,Dean Fiedler,a4061c43b11d6a53604ec628cdf370ee72f54f7a,,,retained-record,
PPO-MYWORK-INT,My Work Sales Overview application integration,docs/decisions/my-work-sales-overview-integration.md,r01,Implemented on a branch for owner review; visual and business acceptance and the UI baseline register remain separate,Dean Fiedler,39b4bb9f52f06c927fb940f6372ede0d1cae24e7,,,retained-record,
PPO-UI-STYLE,Shared UI style specification,docs/standards/ui-style-specification.md,,Accepted r08 presentation implementation; runtime publication in handover,Dean Fiedler - private prototype,8bc0d903cb9da100136a8a5430bac9e6883bb27d,,,git,r08
PPO-009-UI-HO,Shared UI and CRM design handover,docs/delivery/crm-ui-design-handover.md,r02,Design guidance only,Dean Fiedler - private prototype,8bc0d903cb9da100136a8a5430bac9e6883bb27d,,,retained-record,
PPO-009-I2-UI,CRM I2 UI guidance,docs/delivery/crm-i2-ui-guidance.md,,Accepted r08 presentation supersedes older scroll guidance; existing domain retained,Dean Fiedler - private prototype,8bc0d903cb9da100136a8a5430bac9e6883bb27d,,,git,r03
ADR-0015,BP-03 I1 owned opportunities,docs/decisions/ADR-0015-crm-i1-owned-opportunities.md,,Implemented bounded I1 decision; verification and publication in handover,Dean Fiedler - private prototype,,,,retained-record,
PPO-009-I1-HO,Owned opportunity and qualification follow-up handover,docs/delivery/crm-i1-handover.md,r02,I1 component-tested; actual publication in external record,Dean Fiedler - private prototype,,,,retained-record,
PPO-009-I2-START,Scoped Board and Grid opportunity worklist starter,docs/delivery/crm-i2-starter.md,r03,Invoked for issue 43; implementation and publication tracked in I2 handover,Dean Fiedler - private prototype,,,,retained-record,
PPO-010-EVID,CREMS estimating evidence assessment,docs/blueprints/estimating-evidence.md,,Proposed design; implementation/acceptance separate,Dean Fiedler - private prototype,c3ac9b2ab9c09308f620a5b451a337eb75fe6390,,,git,r01
PPO-010-SCR,Estimating screen specification,docs/blueprints/estimating-screen-specification.md,,Proposed design; implementation/acceptance separate,Dean Fiedler - private prototype,c3ac9b2ab9c09308f620a5b451a337eb75fe6390,,,git,r01
PPO-010-TEST,Estimating acceptance procedures,docs/testing/estimating-acceptance.md,r01,Proposed design; implementation/acceptance separate,Dean Fiedler - private prototype,c3ac9b2ab9c09308f620a5b451a337eb75fe6390,,,retained-record,
PPO-010-PLAN,Estimating implementation sequence,docs/delivery/estimating-implementation-plan.md,,E1 implemented; adopted E2 subset authorised; later policy dependencies remain,Dean Fiedler - private prototype,642e283998f6e286f986d0cda53469780ed1dfbb,,,git,r02
PPO-010-E1-START,Estimating first increment starter,docs/delivery/estimating-first-increment-starter.md,r01,Proposed design; implementation/acceptance separate,Dean Fiedler - private prototype,c3ac9b2ab9c09308f620a5b451a337eb75fe6390,,,retained-record,
PPO-010-HO,Estimating discovery and design handover,docs/delivery/estimating-discovery-handover.md,r01,Proposed design; implementation/acceptance separate,Dean Fiedler - private prototype,c3ac9b2ab9c09308f620a5b451a337eb75fe6390,,,retained-record,
ADR-0016,P10 exact Finance handoff and account simulation,docs/decisions/ADR-0016-p10-finance-handoff.md,,P10 publication complete; exact verified evidence in authoritative external record linked from handover,Dean Fiedler - private prototype,,,,retained-record,
P10-HO,Finance handoff and account simulation handover,docs/delivery/p10-handover.md,r01,P10 publication complete; exact verified evidence in authoritative external record linked from handover,Dean Fiedler - private prototype,,,,retained-record,
P11-START,Integrated quality access and usability starter,docs/delivery/p11-starter-prompt.md,r01,P11 invoked; current handover governs incomplete implementation and publication,Dean Fiedler - private prototype,,,,retained-record,
ADR-0017,Bounded manual estimating and draft quotations,docs/decisions/ADR-0017-estimating-e1.md,,E1 implemented; publication record governs delivery,Dean Fiedler - private prototype,94289a20fc609e47af647b29ca8170557da312bb,,,retained-record,
PPO-010-E1-HO,Manual estimate and draft quotation handover,docs/delivery/estimating-e1-handover.md,r01,E1 implemented; publication record governs delivery,Dean Fiedler - private prototype,94289a20fc609e47af647b29ca8170557da312bb,,,retained-record,
PPO-010-E1-API,Manual estimating physical and API contract,docs/contracts/estimating-e1.md,,E1 implemented; adopted category extension contract pending runtime,Dean Fiedler - private prototype,642e283998f6e286f986d0cda53469780ed1dfbb,,,git,r02
PPO-010-E2-START,Routing options and scoped discovery starter,docs/delivery/estimating-e2-starter.md,r03,Adopted options and questions reconciled; runtime pending,Dean Fiedler - private prototype,642e283998f6e286f986d0cda53469780ed1dfbb,,,retained-record,
PPO-012-SRC,Projects source assessment,docs/blueprints/projects-source-assessment.md,,Design only; implementation and acceptance open,Dean Fiedler - private prototype,1f13dd8d6f5006559152fe9d5410aed3fff64234,,,git,r01
PPO-012-UI,Projects screen specification,docs/blueprints/projects-screen-specification.md,,Design only; implementation and acceptance open,Dean Fiedler - private prototype,1f13dd8d6f5006559152fe9d5410aed3fff64234,,,git,r01
PPO-012-PLAN,Projects implementation sequence,docs/delivery/projects-implementation-plan.md,,Design only; implementation and acceptance open,Dean Fiedler - private prototype,1f13dd8d6f5006559152fe9d5410aed3fff64234,,,git,r01
PPO-012-TEST,Projects acceptance procedures,docs/testing/projects-acceptance.md,r01,Design only; implementation and acceptance open,Dean Fiedler - private prototype,1f13dd8d6f5006559152fe9d5410aed3fff64234,,,retained-record,
PPO-012-J1-START,Projects first increment starter,docs/delivery/projects-first-increment-starter.md,r01,Design only; implementation and acceptance open,Dean Fiedler - private prototype,1f13dd8d6f5006559152fe9d5410aed3fff64234,,,retained-record,
PPO-012-HO,Projects discovery handover,docs/delivery/projects-discovery-handover.md,r01,Design only; implementation and acceptance open,Dean Fiedler - private prototype,1f13dd8d6f5006559152fe9d5410aed3fff64234,,,retained-record,
PPO-009-I2-HO,Scoped Board and Grid opportunity worklist handover,docs/delivery/crm-i2-handover.md,r01,Bounded implementation; source-specific verification and actual publication in I2 handover,Dean Fiedler - private prototype,,,,retained-record,
PPO-009-I2-DEC,One scoped opportunity worklist decision,docs/decisions/crm-i2-worklist.md,r01,Bounded implementation; source-specific verification and actual publication in I2 handover,Dean Fiedler - private prototype,,,,retained-record,
PPO-009-I2-HANDOVER-START,Controlled opportunity handover contract starter,docs/delivery/crm-i2-ownership-contract-starter.md,r02,Handover design proposed under issue 55; H-01â€“H-03 unresolved; no transfer implementation,Dean Fiedler - private prototype,,,,retained-record,
PPO-PORTAL-DES,Customer portal design,docs/blueprints/customer-portal-design.md,,Authorised design/staged direction; runtime and acceptance pending,Dean Fiedler - private prototype,94289a20fc609e47af647b29ca8170557da312bb,,,git,r01
PPO-PORTAL-PLAN,Customer portal bounded implementation plan,docs/delivery/customer-portal-implementation-plan.md,,Authorised design/staged direction; runtime and acceptance pending,Dean Fiedler - private prototype,94289a20fc609e47af647b29ca8170557da312bb,,,git,r01
PPO-PORTAL-TEST,Customer portal acceptance procedures,docs/testing/customer-portal-acceptance.md,r01,Authorised design/staged direction; runtime and acceptance pending,Dean Fiedler - private prototype,94289a20fc609e47af647b29ca8170557da312bb,,,retained-record,
PPO-PORTAL-DEC,Customer portal private direction,docs/decisions/customer-portal-direction.md,r01,Authorised design/staged direction; runtime and acceptance pending,Dean Fiedler - private prototype,94289a20fc609e47af647b29ca8170557da312bb,,,retained-record,
PPO-PORTAL-CP1-START,Customer portal CP1 starter,docs/delivery/customer-portal-cp1-starter.md,r01,Authorised design/staged direction; runtime and acceptance pending,Dean Fiedler - private prototype,94289a20fc609e47af647b29ca8170557da312bb,,,retained-record,
PPO-PORTAL-HO,Customer portal design handover,docs/delivery/customer-portal-handover.md,r01,Authorised design/staged direction; runtime and acceptance pending,Dean Fiedler - private prototype,94289a20fc609e47af647b29ca8170557da312bb,,,retained-record,
P11-HO,Integrated quality access and usability handover,docs/delivery/p11-handover.md,r05,Implementation and evidence handover; exact final-head and actual-main completion governed by authoritative external publication,Dean Fiedler - private prototype,744b6e6b89e69abdd0fbd4bfdd6ef5ae51e154f3,,,retained-record,
P12-START,Recovery delivery and owner demonstration starter,docs/delivery/p12-starter-prompt.md,r05,Invoked under the continuing audit instruction; current delivery in P12 handover,Dean Fiedler - private prototype,744b6e6b89e69abdd0fbd4bfdd6ef5ae51e154f3,,,retained-record,
ADR-0018,P11 separate synthetic Travel treatment,docs/decisions/ADR-0018-p11-travel-and-integrated-quality.md,r01,Bounded user decision approved; implementation verification in progress,Dean Fiedler - private prototype,573e3bac00c0dce9db40f0d1051900fa0e9770cf,,,retained-record,
PPO-009-HANDOVER-DEC,Controlled opportunity handover decisions,docs/decisions/crm-opportunity-handover.md,r02,H-01â€“H-03 adopted for the synthetic prototype; implementation under review,Dean Fiedler - private prototype,744b6e6b89e69abdd0fbd4bfdd6ef5ae51e154f3,,,retained-record,
PPO-009-HANDOVER-CONTRACT,Controlled opportunity handover contract,docs/contracts/crm-opportunity-handover.md,,H-01â€“H-03 adopted; branch implementation and HV execution pending,Dean Fiedler - private prototype,744b6e6b89e69abdd0fbd4bfdd6ef5ae51e154f3,,,git,r02
PPO-009-HANDOVER-JOURNEY,Synthetic opportunity handover journey,docs/blueprints/crm-handover-journey.md,,Proposed design; H-01â€“H-03 unresolved; no transfer implementation,Dean Fiedler - private prototype,744b6e6b89e69abdd0fbd4bfdd6ef5ae51e154f3,,,git,r01
PPO-009-HANDOVER-TEST,Future handover verification matrix,docs/testing/crm-handover-verification.md,r02,H-01â€“H-03 adopted; branch implementation and HV execution pending,Dean Fiedler - private prototype,744b6e6b89e69abdd0fbd4bfdd6ef5ae51e154f3,,,retained-record,
PPO-009-HANDOVER-START,Conditional owner transfer implementation starter,docs/delivery/crm-owner-transfer-implementation-starter.md,r02,H-01â€“H-03 adopted; branch implementation and HV execution pending,Dean Fiedler - private prototype,744b6e6b89e69abdd0fbd4bfdd6ef5ae51e154f3,,,retained-record,
PPO-009-HANDOVER-HO,Controlled opportunity handover design handover,docs/delivery/crm-handover-design-handover.md,r01,Proposed design; H-01â€“H-03 unresolved; no transfer implementation,Dean Fiedler - private prototype,744b6e6b89e69abdd0fbd4bfdd6ef5ae51e154f3,,,retained-record,
PPO-UI-R08-DEC,Accepted r08 shared layout and CRM implementation,docs/decisions/shared-ui-r08-implementation.md,r01,Accepted and implemented,Dean Fiedler - private prototype,4a9c27d5580edc236ff22b15a65ae441c0bc69a4,,,retained-record,
PPO-UI-R08-HO,Shared layout and CRM r08 implementation handover,docs/delivery/shared-ui-redesign-handover.md,r02,Implemented; verification evidence recorded,Dean Fiedler - private prototype,4a9c27d5580edc236ff22b15a65ae441c0bc69a4,,,retained-record,
PPO-AI-SPEC,PPO Assistant design and implementation specification,docs/blueprints/ppo-assistant-specification.md,,Design preparation authorised; implementation proposed; runtime and model acceptance Not run,Dean Fiedler - private prototype,b3597f79413f87b9b2f1ce75a66a2addefbb0e34,,,git,r01
PPO-AI-DEC,PPO Assistant direction and architecture decision,docs/decisions/ppo-assistant-direction.md,r01,Design preparation authorised; implementation proposed; runtime and model acceptance Not run,Dean Fiedler - private prototype,b3597f79413f87b9b2f1ce75a66a2addefbb0e34,,,retained-record,
PPO-AI-HO,PPO Assistant design handover,docs/delivery/ppo-assistant-handover.md,r01,Design preparation authorised; implementation proposed; runtime and model acceptance Not run,Dean Fiedler - private prototype,b3597f79413f87b9b2f1ce75a66a2addefbb0e34,,,retained-record,
PPO-DEMO-PKG,Private Prototype Demo package,docs/delivery/private-prototype-demo.md,r03,Private hosted viewing selected; execution not implemented,Dean Fiedler - private prototype,923bd9b90412c80782331b7085a6880750f12640,,,retained-record,
PPO-DEMO-DEC,Private Prototype Demo scope and hosting assessment,docs/decisions/private-prototype-demo.md,r02,Private hosted viewing selected; execution not implemented,Dean Fiedler - private prototype,923bd9b90412c80782331b7085a6880750f12640,,,retained-record,
PPO-DEMO-COST,Private Prototype Demo hosting cost model,docs/delivery/private-prototype-demo-costs.json,r01,Prepared definition; hosted execution not implemented,Dean Fiedler - private prototype,923bd9b90412c80782331b7085a6880750f12640,,,retained-record,
PPO-009-EMAIL-DESIGN,Email and Calendar integration design,docs/blueprints/email-calendar-integration.md,,Design and synthetic prototype; live integration not implemented,Dean Fiedler - private prototype,42383fc2e3a85f6cf9c38c829683b14787578579,,,git,r03
PPO-009-EMAIL-DEC,Email and Calendar design direction,docs/decisions/email-calendar-design.md,,Design and synthetic prototype; live integration not implemented,Dean Fiedler - private prototype,b3597f79413f87b9b2f1ce75a66a2addefbb0e34,,,git,r02
PPO-009-EMAIL-PILOT,First Microsoft Email and Calendar pilot,docs/delivery/email-calendar-microsoft-pilot.md,r02,Design and synthetic prototype; live integration not implemented,Dean Fiedler - private prototype,42383fc2e3a85f6cf9c38c829683b14787578579,,,retained-record,
PPO-009-EMAIL-HO,Email and Calendar design handover,docs/delivery/email-calendar-handover.md,r02,Design and synthetic prototype; live integration not implemented,Dean Fiedler - private prototype,b3597f79413f87b9b2f1ce75a66a2addefbb0e34,,,retained-record,
PPO-009-MOBILE-AC,Mobile CRM acceptance checklist,docs/testing/mobile-crm-acceptance-checklist.md,r02,Prepared; owner execution Not run,Dean Fiedler - private prototype,5b6b8bf73e9486858b22e7561f1ec1ece8ee59de,,,retained-record,
PPO-009-FACILITY-PROP,Facility fields approved first persistence increment,docs/decisions/facility-field-proposal.md,r02,FAC-D01â€“03 accepted; implementation pending,Dean Fiedler - private prototype,5b6b8bf73e9486858b22e7561f1ec1ece8ee59de,,,retained-record,
PPO-UI-MOBILE-DEC,Mobile CRM implementation,docs/decisions/mobile-crm-implementation.md,r01,Working implementation decision,Dean Fiedler - private prototype,923bd9b90412c80782331b7085a6880750f12640,,,retained-record,
PPO-UI-MOBILE-HO,Mobile CRM implementation handover,docs/delivery/mobile-crm-handover.md,r01,Implementation with verification in progress,Dean Fiedler - private prototype,923bd9b90412c80782331b7085a6880750f12640,,,retained-record,
PPO-DEMO-AZURE-CONNECTION,Azure demo connection setup,docs/delivery/azure-demo-connection.md,r03,Connection verified; hosted preparation separate,Dean Fiedler - prototype owner,8062622d9e1bb8601747d299d2a0b34b66d1c81d,,,retained-record,
PPO-DEMO-AZURE-CONNECTION-DEC,Azure demo connection preparation,docs/decisions/azure-demo-connection.md,r03,Connection verified; hosted preparation separate,Dean Fiedler - prototype owner,8062622d9e1bb8601747d299d2a0b34b66d1c81d,,,retained-record,
PPO-DEMO-RUNTIME,Azure private demo deployment,docs/delivery/azure-private-demo.md,r06,Image uploaded; database argument correction prepared,Dean Fiedler - prototype owner,f8035b5c55251da4da52430adf2f83094feccd6b,,,retained-record,
PPO-REPO-HOUSEKEEPING,Repository housekeeping,docs/delivery/repository-housekeeping.md,r01,Documentation cleanup and merged-branch retirement; outcome recorded in handover,Dean Fiedler - prototype owner,f8035b5c55251da4da52430adf2f83094feccd6b,,,retained-record,
PPO-010-E2-DEC,E2 candidate rule decisions,docs/decisions/estimating-e2-rules.md,r02,E2 options/questions adopted with advisory-routing reconciliation; runtime pending,Dean Fiedler - prototype owner,f8035b5c55251da4da52430adf2f83094feccd6b,,,retained-record,
PPO-010-E2-DES,E2 routing alternatives and scoped questions,docs/blueprints/estimating-e2-design.md,,Adopted options and questions reconciled; no E2 runtime implementation,Dean Fiedler - prototype owner,642e283998f6e286f986d0cda53469780ed1dfbb,,,git,r02
PPO-010-E2-CONTRACT,E2 receiving and preservation design,docs/contracts/estimating-e2-design.md,,Adopted options and questions reconciled; schema and API implementation pending,Dean Fiedler - prototype owner,642e283998f6e286f986d0cda53469780ed1dfbb,,,git,r02
