requirement_id,requirement,source_control,evidence,proposed_owner,release_boundary,dependencies_and_spec,planned_acceptance,initial_backlog_ids,approval_status,implementation_status,test_status,source
EST-03,"Manage options, revisions, estimates and quote versions",Preserve accepted versions and commercial lineage,"SRC-02: Workspace options/revisions/branching, DG",Estimating,B versioned commercial records,D-009/D-010; CRE-03/CRE-04; BP-04,AT-03/AT-26,PPO-010,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-04,"Cost products, labour, freight, subcontractors and other permitted categories","Capture quantity, unit, source cost, currency, effective date and cost basis","SRC-02: Building cost estimate, DG",Estimating,B validated lines and costs,D-009; CRE-07/CRE-08/CRE-11/CRE-12; BP-04,AT-04/AT-26,PPO-010,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-05,"Apply approved pricing, discount, margin and rounding rules",Margin and markup distinguished; no invented thresholds or hidden refresh,"SRC-02: Change line and quote configuration discounts, DG",Commercial/Finance,B approved pricing policies,D-009/D-010; CRE-08–CRE-10/CRE-20; BP-04,AT-04/AT-26,PPO-010,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-06,"Preserve validated specialist configuration, including Screen Systems","Obtain formulas, ranges, parts mappings and reference cases before replacement","SRC-02: Screen Systems configurations, DG",Engineering/Estimating,B validated specialist configuration,D-009; CRE-13–CRE-17; BP-04,AT-04/AT-28,PPO-010,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-07,Route estimate and quote approvals separately where policy requires,"Named authority, evidence, rejection, withdrawal and resubmission","SRC-02: Getting estimate approved, DG",Commercial,B estimate/quote approval,D-002/D-010; CRE-04/CRE-09/CRE-18; BP-04,AT-01/AT-26,PPO-010,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-08,"Generate and issue controlled quotations, record customer response and prepare ERP conversion","Terms, scope and exact issued content preserved","SRC-02: Building quote and converting, DG",Commercial,B quote issue/response/conversion,D-006/D-010/D-024; CRE-19/CRE-20; OUT-06/OUT-07; BP-04,AT-05/AT-26/AT-36,PPO-010,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-09,Resolve one-off items and track conversion/reconciliation,Unknown external outcomes cannot trigger blind duplicate creation,"SRC-02: MYOB item resolution/conversion, DG; SRC-03 Section 22 secondary",Estimating/Integration owner,B item/conversion operations,D-005/D-006; IF-01–IF-03; CRE-21; BP-02/BP-04,AT-05,PPO-010;PPO-002,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-01,"Manage engineering requests, briefs, work packages and capacity","Requests identify authorised effort, owner, prerequisites and due dates","SRC-01: Engineering department/design request, UC; workflow PR",Engineering,C work intake/capacity,D-002/D-008; Section 11.4; BP-05,AT-37,PPO-011,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-02,"Maintain requirements, design basis, assumptions and interface responsibilities",Open technical questions have owners and affected deliverables,"SRC-01: technical project information, UC; design-basis workflow PR",Engineering,A-min reference/escalation; C managed basis/interfaces,D-008/D-019; Sections 11.4/18.4; BP-05,AT-06/AT-37,PPO-011,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-03,Maintain a drawing/document register linked to supported authoring systems,Native CAD relationships retained; no untested file relocation,"SRC-01: CAD and SharePoint retained, UC",Engineering/Document owner,A approved file references; C drawing register,D-008/D-012; DAT-11/IF-06/IF-10; BP-02/BP-05,AT-20/AT-37,PPO-011,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-04,"Manage reviews, comments, approvals, revisions and formal issues","File version, engineering revision, approval and issue purpose are separate","SRC-01: professional technical system, UC; SRC-19 template gate, PO",Engineering,A-min technical-source approval; C review/transmittal,D-002/D-008/D-014; OUT-08; Section 18.4; BP-05,AT-15/AT-32/AT-37,PPO-011,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-05,Release design material requirements and approved substitutions,Map to ERP items/units without automatically purchasing,"SRC-01: integrated Engineering/supply, UC; release control PR",Engineering/Procurement,C approved material requirements,D-006/D-008; IF-02/IF-12; Section 11.4; BP-05/BP-08,AT-15/AT-29/AT-37,PPO-011,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-06,"Assess technical changes against scope, cost, delivery and installed configuration","Record impact, authority, affected recipients and any required retest","SRC-01: integrated large-project design, UC; change workflow PR",Engineering,A-min source-change impact; C full technical changes,D-010/D-019; TR-07/Section 11.4; BP-05,AT-07/AT-15/AT-37,PPO-011,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-07,"Control commissioning criteria, as-built information and technical handover","Trace tested configuration, field redlines, approval and support references","SRC-01: design/service/project context, UC; SRC-05 handover prototype, PO",Engineering/Service,A-min approved instructions/history; C full technical handover,D-008/D-019; OUT-12/OUT-13; BP-05/BP-06,AT-17/AT-37/AT-38,PPO-011,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-01,Initiate projects from authorised scope and apply a proportionate project class,Sales handover accepted by a named delivery owner,"SRC-01: major horticultural projects, UC; SRC-18 master register, PO",Projects,A-min project/work links; C initiation/classes,D-014; MIG-01; BP-06,AT-21/AT-38,PPO-012,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-02,"Manage work packages, milestones, predecessors, baselines and forecasts",Dependencies represent real relationships; baseline changes retain approval,"SRC-19: project-plan native dependencies, PO",Projects,C detailed schedule engine,D-014; MIG-02/Section 27.6; BP-06,AT-24/AT-32,PPO-012,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-03,"Maintain RAID, decisions, actions and interface responsibilities","Risks, assumptions, issues and dependencies remain distinguishable","SRC-18: RAID template metadata, PO; target control PR",Projects,A-min owned issues/actions; C full RAID,D-014; MIG-10; BP-06,AT-14/AT-38,PPO-012,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-04,"Coordinate engineering, procurement, site readiness and technician demand",Planned dates cannot silently override confirmed bookings,"SRC-01: easily rearranged technician schedules, UC; SRC-19 planning rules, PO",Projects/Service,A request/booking boundary; C delivery coordination,D-007/D-015; TR-08; BP-06/BP-07,AT-09/AT-32,PPO-012,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-05,"Control contract obligations, variations and customer commitments","Requested, priced, approved and disputed changes separated","SRC-01: large projects, UC; commercial controls PR",Commercial/Projects,C contracts/variations/subcontracts,D-010/D-017; Section 12.4/FD-08; BP-06,AT-31/AT-38,PPO-012,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-06,"Manage inspection/test plans, defects, retests and staged acceptance",Evidence relates to the tested package and revision,"SRC-05/SRC-18: readiness/commissioning template identity, PO; design PR",Projects/Engineering/QHSE,C QA/test/defect control,D-019; MIG-08/OUT-12; BP-06,AT-17/AT-38,PPO-012,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-07,Produce approved stakeholder updates and delivery forecasts,"Source dates, unresolved issues and distribution approval visible","SRC-01: project tracking, UC; SRC-18 update sources, PO",Projects,C controlled updates/forecasts,D-014/D-024; MIG-11/OUT-11/REP-07; BP-06,AT-32/AT-36/AT-38,PPO-012,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-08,"Complete technical, commercial and service handover","Required documents, assets, training, support ownership and open issues accepted","SRC-01: integrated service history, UC; SRC-18 handover template, PO",Projects/Service,A-min existing handover context; C full closeout,D-014/D-019; MIG-07/OUT-13; BP-06,AT-17/AT-20/AT-38,PPO-012,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-01,"Capture and triage tickets against customers, sites and assets","Reported symptom, urgency, customer impact and coverage recorded","SRC-01: support tickets and service management, UC",Service,A planned-job triage; later reactive depth,D-007/D-018; DAT-04/TR-01; BP-07,AT-06/AT-30,PPO-005,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-02,Manage authorised work orders separately from tickets and appointments,"Multiple visits, technicians and affected assets supported","SRC-01: technician work/context, UC; separation design PR",Service/Finance,A selected authoritative order model,D-005/D-007; DAT-05/TR-02/IF-04; BP-02/BP-07,AT-06/AT-14/AT-30,PPO-005;PPO-002,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-03,"Assemble, check, issue and acknowledge revision-controlled job packs",Readiness evidence precedes dispatch or an authorised exception,"SRC-01: no prior-issued job packs, UC",Service,A full selected pack lifecycle,D-012/D-019/D-024; DAT-07/TR-04–TR-07/OUT-09; BP-07,AT-06/AT-07/AT-34/AT-36,PPO-005,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-04,Provide a visual drag-and-drop dispatch planner,"Skills, availability, travel, readiness, crews and conflicts evaluated","SRC-01: visual technician schedule, UC; SRC-19 disabled rules, PO",Service,A selected planner/constraints,D-015; DAT-06/TR-03/MIG-03; BP-07,AT-08/AT-23/AT-34,PPO-005,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-05,Control rescheduling and reassignment,"Record changes/reasons, affected commitments and acknowledgement","SRC-01: easy schedule rearrangement, UC",Service,A controlled changes/reassignment,D-015/D-025; TR-08/TR-16; BP-07,AT-08/AT-09/AT-34,PPO-005,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-06,Present relevant site/asset history and technical context,"Findings, suspected causes, unsuccessful fixes and open issues distinguishable","SRC-01: previous issues/fixes/work/by whom, UC",Service/Data,A selected relevant history; later expanded migration,D-011/D-012/D-026; DAT-03/DAT-08/DAT-09; BP-07,AT-14/AT-20/AT-21/AT-30,PPO-005;PPO-003,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-07,Support appropriate offline preparation and field capture,"Saved locally, queued, synchronised, failed and conflicted are visible states","SRC-01: field use, UC; offline solution PR",Service/Systems,A approved device/offline scope,D-016; Section 21.6; BP-02/BP-07,AT-10/AT-11/AT-34,PPO-005;PPO-008,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-08,"Capture time, travel, breaks, waiting and task labour","Planned, recorded, reviewed and billable time remain separate","SRC-01: labour tracking, UC",Service/Finance,A capture/review/handoff,D-017; DAT-08/FD-10; BP-07/BP-09,AT-12/AT-31,PPO-005,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-09,"Record parts consumption, returns and further requirements",ERP posting and stock confirmation are separately evidenced,"SRC-01: integrated parts/inventory/service, UC",Service/Supply Chain,A capture/manual ERP processing; C deeper automation,D-006/D-017; DAT-08/IF-14/FD-10; BP-07/BP-08,AT-12/AT-29/AT-31,PPO-005,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-10,"Capture inspections, photos, readings, findings and service reports","Reported work is attributable to a visit, person and relevant asset","SRC-01: reporting and context, UC",Service,A field evidence/report,D-019/D-024; DAT-08/DAT-09/OUT-10; BP-07,AT-12/AT-13/AT-36,PPO-005,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-11,Capture customer acknowledgement and exceptions,Exact report version; unavailable/declined/disputed pathways,"SRC-01: customer sign-offs, UC",Service,A acknowledgement/exceptions,D-024; DAT-09/TR-13; BP-07,AT-13/AT-34,PPO-005,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SVC-12,"Manage recurring maintenance, warranty, renewals and follow-up","Coverage, recurrence rules and supplier recovery are explicit","SRC-01: scheduled maintenance/service, UC; detailed lifecycle PR",Service/Commercial,A-manual coverage/follow-up; B/C automated contracts,D-018/D-028; SVC-12.1–SVC-12.5; BP-07,AT-14/AT-19/AT-25/AT-33 as included,PPO-005;PPO-015,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-01,"Link forecast and approved demand to projects, orders and service work",Demand class and required-by date explicit,"SRC-01: inventory/purchasing/shipping integration, UC",Supply Chain,A-min job demand; C full demand classes,D-006; IF-12/DAT-08; BP-08,AT-12/AT-29,PPO-013,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-02,"Display ERP items, warehouses, availability and purchasing references","Stock meanings, source time and completeness visible","SRC-01: ERP source of truth and inventory, UC",Supply Chain/Finance,A selected verified read/reference; C wider stock views,D-005/D-006; IF-02/IF-14; BP-08,AT-18/AT-29,PPO-013,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-03,"Manage requisitions, approvals, supplier quotations and procurement exceptions",Approved demand does not bypass ERP purchase controls,"SRC-01: purchasing team integration, UC; procurement controls PR",Procurement,A-manual ERP reference; C requisitions/approvals,D-002/D-006; IF-11/IF-12; BP-08,AT-29,PPO-013,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-04,"Track supplier commitments, manufacturing milestones and technical deliverables",Confirmed dates distinguishable from estimates,"SRC-01: supply and engineering integration, UC; commitment workflow PR",Procurement/Engineering,C supplier commitments/submittals,D-006; IF-11/IF-12; Section 11.4; BP-08,AT-29/AT-37,PPO-013,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-05,Track inbound shipments and their line-level allocations,One shipment may serve many orders/projects; one order may use many shipments,"SRC-01: shipping integration, UC; SRC-18 legacy shipment metadata, PO",Logistics,C inbound shipment allocation,D-006/D-014; IF-12/IF-13/MIG-12; BP-08,AT-16/AT-29,PPO-013,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-06,"Coordinate receipt, inspection, shortages, damage, quarantine and partial delivery",Carrier arrival is not automatically ERP receipt or job readiness,"SRC-01: inventory/service integration, UC; receipt/quality design PR",Inventory/QHSE,A verified readiness evidence; C receipt/inspection workflow,D-006/D-019; IF-13; BP-08,AT-16/AT-29,PPO-013,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-07,"Coordinate picking, dispatch, delivery, returns and supplier claims",Actual ERP transaction outcome and proof/evidence linked,"SRC-01: shipping/service/customer integration, UC; return control PR",Logistics/Finance,A-manual selected issue/return; C full fulfilment/claims,D-006/D-017; IF-15/IF-16; BP-08,AT-12/AT-29/AT-31,PPO-013,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
SCM-08,Report material readiness and change impacts to delivery/service,Delays trigger review; they do not silently move confirmed bookings,"SRC-01: integrated project/service schedules, UC",Supply Chain/Service,A manual verified readiness/impact; C automation,D-015; TR-03/TR-08/REP-09; BP-07/BP-08,AT-06/AT-09/AT-16/AT-29,PPO-013,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-01,Display authorised customer-account transactions and balances,"Company, currency, source time and completeness included","SRC-01: customer accounts/invoices visibility, UC",Finance,A selected read or explicit ERP lookup; B broader accounts,D-006/D-017/D-020; FD-01–FD-03; BP-09,AT-01/AT-18/AT-31,PPO-006,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-02,"Link invoices, payments, credits, deposits and applications",Invoice totals are not treated as open balances,"SRC-01: customer transactions, UC; applications semantics PR",Finance,A references as needed; B full applications/balances,D-017; FD-02/FD-04/IF-05; BP-09,AT-18/AT-31,PPO-006,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-03,"Support financial review of orders, work and commercial exceptions",Authority and ERP credit/payment status separately verified,"SRC-01: MYOB financial authority, UC; review controls PR",Finance/Commercial,A approved work/coverage/handoff review; C wider controls,D-010/D-017/D-018; FD-10/TR-14; BP-09,AT-12/AT-31,PPO-006,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-04,"Display project budget, actuals, commitments and operational forecasts",Definitions prevent duplicated cost or unapproved revenue,"SRC-01: major projects/ERP, UC; SRC-19 definition statuses, PO",Finance/Projects,C project cost/commitment/forecast,D-017; FD-05–FD-07; BP-09,AT-18/AT-31,PPO-006,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-05,"Coordinate milestone claim evidence, approved variations and relevant contract obligations",Finance controls ERP invoice/credit processing,"SRC-01: multi-million project work, UC; claims/variation design PR",Finance/Commercial,C progress claims/variations,D-010/D-017; FD-08/OUT-14; BP-06/BP-09,AT-31/AT-38,PPO-006,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-06,"Reconcile imports, updates and dashboard measures",Failed/partial/outdated data cannot appear as a verified financial result,"SRC-01: integrated authoritative data, UC; SRC-19 controls, PO",Finance/Integration owner,A selected/manual reconciliation; C full views,D-006/D-017; FD-10/REP-11; BP-02/BP-09,AT-18/AT-22/AT-31,PPO-006,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-07,"Maintain financial measure definitions, currency and tax treatment",Definitions approved before financial dashboard acceptance,"SRC-19: definition/comparability statuses, PO; control design PR",Finance,A selected definitions; C project dictionary,D-017; FD-01–FD-10; BP-09,AT-31,PPO-006,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
FIN-08,"Provide approved profitability, cash-timing and exception views","Forecast margin, accounting result, billing and cash distinguished","SRC-01: finance/strategy scope, UC; decision-view design PR",Finance,C approved profitability/cash timing,D-017; FD-07–FD-09/KPI-13; BP-09,AT-18/AT-31,PPO-006,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-01,Link controlled documents using stable repository identifiers,Renaming or moving a file follows supported reference-handling rules,"SRC-01: SharePoint retained, UC; SRC-08 driveItem, ER",Document owner/Systems,A selected records/files; later wider scope,D-012; DAT-11/IF-06; BP-02,AT-20,PPO-007,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-02,"Separate working versions, approved revisions and issued records",Preserve exact released/acknowledged content and issue purpose,"SRC-02: revisions/approvals/documents, DG; issued-record design PR",Document/domain owners,A packs/reports; B/C commercial/design issues,D-012/D-024; TR-05/TR-07/OUT register; BP-02,AT-07/AT-13/AT-20/AT-36,PPO-007,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-03,"Generate approved quotation, job-pack, service and handover outputs","Template version, source snapshot and reviewer recorded","SRC-02: document/report outputs, DG; SRC-01 job packs/reports, UC",Document/domain owners,A selected outputs; B/C full OUT catalogue,D-024; OUT-01–OUT-18; BP-02 plus module,AT-27/AT-36,PPO-007,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-04,Maintain approved knowledge and technical reference content,"Owner, applicability, revision and review/expiry rules visible","SRC-01: prior issues/fixes and technical context, UC",Engineering/Service,A approved references; C knowledge workflow,D-008/D-012/D-019; OUT-18; BP-05/BP-07,AT-20/AT-37,PPO-007,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-05,"Manage communication drafts, approval, distribution and delivery outcomes","Sent, delivered and acknowledged are not interchangeable","SRC-01: integrated CRM/service, UC; SRC-02 notes/tasks/reporting, DG",Sales/Service,A owned notification/manual filing; B broader sync,D-025; OUT-17/PAR-06; BP-02/BP-03/BP-07,AT-07/AT-25/AT-36,PPO-007,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
DOC-06,"Apply access, retention and confidentiality to files and search results",App and repository permissions both enforced,"SRC-01: professional integrated system, UC; access/retention design PR",Systems/Data owners,A all selected surfaces; expand with releases,D-012/D-020; Section 21.4; BP-02,AT-01/AT-20/AT-34,PPO-007;PPO-008,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-01,Enforce identity and action/record-level authorisation on the server,"Positive/negative role tests, cross-company tests and D-020","SRC-01: professional platform, UC; permission design PR",Systems/Data owners,A framework and all selected actions,D-020; Section 21.4; BP-02,AT-01/AT-34,PPO-008,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-02,Preserve attributable audit for material changes and approvals,"Reconstruct actor, time, source/version, reason and outcome","SRC-02: approvals/versions, DG; cross-platform audit design PR",Systems/Domain owners,A material events; extend per release,D-020/D-021; TR/DAT common fields; BP-02,AT-07/AT-12/AT-35,PPO-008,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
NFR-03,"Protect credentials and information in transit, storage and device caches","Security design, secret rotation and device review; no secrets in job packs","SRC-01: web/field context, UC; security design PR",Systems,A devices/services/credentials,D-016/D-020; Section 21.5/DEV-07; BP-02,AT-01/AT-10/AT-34/AT-35,PPO-008,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
