# scope | proposed destination | information to prepare | workflow steps (semicolon separated) | observable outcome | specific boundary
CS-05|/facilities|Site, facility type, parent area, dimensions and lifecycle context|Find the site before choosing or creating a facility;Record the growing-area hierarchy and measured basis;Review saved revisions before using facility data in discovery|A traceable facility or growing-area record linked to its site|Source now contains facility routes. Historical estimate snapshots must retain their original facility evidence.
CS-06|/sites?tab=readiness|Access instructions, induction, crop window, biosecurity and shutdown constraints|Check the source and currency of site instructions;Identify unmet readiness conditions and their owners;Pass the reviewed constraints to planning and field preparation|Site constraints are visible with an owner for each unresolved prerequisite|A recorded instruction is not proof that a technician has completed induction or that work is authorised.
CS-07|/customers?tab=development|Account objectives, visit purpose, relationship gaps and next actions|Identify the customer outcome sought;Plan a visit around known contacts and site constraints;Record the visit outcome and accountable follow-up|A customer-development action has a clear purpose and next owner|A sales visit plan is not a service appointment or a confirmed resource booking.
CS-08|/surveys|Site/area identity, measurements, photographs, source date and unknowns|Capture observations separately from assumptions;Associate each measurement with units and location;Review the brief and pass an exact revision to estimating or engineering|A usable as-found brief with traceable evidence and owned unknowns|Do not substitute estimates for measured dimensions without marking the basis.
EQ-01|/equipment|Asset reference, customer/site, physical location, served area and model|Find the installed equipment by reference or context;Confirm its physical identity and current location;Review linked configuration, service and document history|The correct installed asset is selected for the work|The equipment location may differ from the area it serves. Readable references are not database UUIDs.
EQ-02|/equipment/lookup|QR value, visible serial/model and site context|Scan the identifier or enter it manually;Compare the returned record with the equipment label;Resolve a mismatch before linking work or evidence|Physical equipment and its record are explicitly matched|A successful scan alone does not prove the label is attached to the correct unit.
EQ-03|/equipment?tab=configuration|Hardware, firmware, software, licences and source revision|Read the existing configuration basis;Record the proposed change and affected components;Preserve previous configuration and capture the successor basis|A dated configuration history that explains what changed|Changing a record must not imply that a physical controller has been changed.
EQ-04|/equipment?tab=lifecycle|Effective date, original/new location and predecessor/successor identities|Identify the asset and proposed lifecycle event;Assess service, warranty and document impacts;Record the event with effective date and retained history|Movement, replacement or retirement is traceable|Replacement equipment needs its own identity. Historical service must remain linked to the original asset.
EQ-05|/equipment?tab=history|Exact documents, prior diagnoses, attempted fixes and open findings|Review previous visits and unsuccessful fixes;Open the applicable document revision;Carry unresolved findings into the next authorised task|The next worker has relevant historical context|An old fix or manual may no longer apply to the current configuration.
EQ-06|/equipment/bulletins|Supplier bulletin, applicable models/versions and affected assets|Record the exact bulletin and its source;Review asset applicability against configuration;Assign follow-up and retain exclusion reasons|Each affected asset has a reviewed disposition|A supplier bulletin does not itself authorise customer work or prove every model is affected.
EQ-07|/equipment/lifecycle|Support dates, supplier notices, obsolete parts and replacement evidence|Check supplier lifecycle evidence;Identify exposed installed assets and missing information;Prepare a reviewed support or upgrade proposal|Lifecycle risks have sourced dates and accountable actions|Do not infer end-of-support dates from product age or marketing availability.
EQ-08|/equipment/backups|Backup reference, exact device configuration, compatibility and recovery evidence|Identify the backup and its protected authoritative location;Review compatibility and the intended recovery procedure;Record actual recovery verification separately|A recoverable evidence trail for the correct configuration|This workspace records backup/recovery evidence. It does not restore equipment or expose passwords.
EQ-09|/equipment/instruments|Instrument identity, calibration certificate, validity and measurement task|Identify the instrument used for a reading;Check its applicable calibration evidence;Retain the certificate basis with the measurement|A reading can be traced to its instrument and calibration state|A current certificate must not be applied retrospectively to an earlier measurement without evidence.
CR-01|/sales/opportunities|Customer, scope, deal owner, stage, next activity and commercial basis|Open the deal and confirm customer/site scope;Review activities, estimating and documents together;Maintain the next action and record stage changes through available controls|A current opportunity with accountable follow-up|Deal stage and Won/Lost outcome are separate. A proposed value is not invoiced revenue.
CR-02|/sales/handoffs/estimating|Exact brief revision, customer/site, scope, exclusions and receiving estimator|Prepare the submission with owned unknowns;Ask the receiving estimator to accept or return that exact brief;Resolve clarification and preserve superseded submissions|The receiving owner accepts a defined estimating basis|Saving a brief does not submit it, and submission does not establish acceptance.
CR-03|/sales/handoffs/won|Accepted commercial revision, target domain and handover-due obligations|Identify what was accepted and which items need delivery;Review gaps with the receiving domain;Record item-level acceptance or an owned return reason|Each committed item has a receiving owner|Marking a deal Won does not automatically create an authorised project, work order or sales order.
CR-04|/sales/opportunities|Pipeline, view, filters, value basis, close dates and next actions|Use Board or List to inspect the same permitted worklist;Use Forecast to review timing and known values;Review Archive separately from active opportunities|The pipeline assessment states its population, unknowns and next actions|Forecast values are not revenue. Missing values must not be treated as zero.
CR-05|/sales/aftercare|Installed outcome, review date, customer contact and renewal context|Review what was delivered and any open issues;Plan the aftercare contact or training follow-up;Record feedback and an owned renewal or support action|Post-sale obligations and opportunities remain visible|A proposed renewal does not extend an agreement or resolve outstanding service obligations.
ES-01|/estimating|Customer brief, opportunity, estimator, scope and required response date|Find the intake or existing estimate;Check scope completeness and required clarification;Assign or review the next estimating action|An estimator has a clear, current basis for work|A workload entry is not an approved price or an issued quotation.
ES-02|/estimating/discovery|Customer/site, growing areas, requirements, alternatives and selected scope|Review Requirements, Configuration, Scope & delivery, Pricing and Review;Keep alternatives and their exact revisions distinct;Check the saved cost basis before preparing a quotation|A selected, traceable discovery basis with owned review items|A newer discovery revision does not automatically recost a saved estimate. The broader wizard design and implemented subset differ.
ES-03|/estimating/cost-sources|Supplier source revision, currency, units, validity, freight and FX basis|Compare the current and proposed supplier evidence;Review each changed cost assumption;Prepare a successor estimate basis only after the relevant review|A price refresh is attributable to exact source changes|Source review is separate from estimate approval. Do not invent exchange rates or supplier validity.
ES-04|/estimating/reviews|Exact estimate revision, pricing exceptions, findings and reviewer authority|Review the submitted costing basis and assumptions;Return specific findings to their owners;Record the permitted review outcome for that exact revision|Findings and disposition are traceable to the reviewed estimate|Review completion must not silently grant discount authority or issue a quotation.
ES-05|/estimating/quotes|Exact quotation, approval basis, recipient, issue purpose and attachments|Inspect the saved Draft and its cost/scope basis;Complete required approval before controlled issue;Track distribution outcomes against the issued revision|An exact issue and its distribution evidence are retained|Draft, approved, issued, sent, delivered and acknowledged are distinct states.
ES-06|/estimating/quotes?tab=responses|Issued offer revision, recipient response, selected options and conditions|Identify the exact offer the customer responded to;Record acceptance, decline or negotiation evidence;Prepare a successor offer when content changes|A response is bound to a specific offer and its conditions|Acceptance of an old revision does not approve a changed offer.
ES-07|/estimating/conversion|Accepted lines, one-off items, external mapping and target delivery domain|Resolve unmapped or exceptional items;Review target lines and quantities before conversion;Reconcile an uncertain result before any repeat attempt|Each accepted line has one traceable conversion outcome|Do not create duplicate downstream effects after a timeout. MYOB ownership remains authoritative where applicable.
ES-08|/estimating/configurations|Governed geometry, system choices, units, source evidence and rule version|Review required inputs and unresolved assumptions;Inspect calculation and generated-parts evidence;Review overrides and rerun impact before accepting a successor|A reproducible specialist configuration with an exact input/rule basis|ES-08 is the Screen Systems family. Fertigation and other calculators need their own validated scope and must not be relabelled ES-08.
ES-09|/estimating/outcomes|Issued/accepted/change basis, comparable actuals and variance attribution|Choose the exact estimate baseline;Check actual quantity, cost and period completeness;Explain each comparable variance and assign learning actions|A comparison with a stated basis and attributable differences|Mixing budgets, commitments, invoices and cash produces misleading variances.
ES-10|/estimating/reference-cases|Reference case, comparability, sample size, exclusions and proposed calibration|Check whether the reference case is eligible;Compare like-for-like measures and record limitations;Submit a calibration proposal for review|A reviewable learning proposal with preserved evidence|A small or biased sample cannot establish an approved estimating rule.
EN-01|/engineering|Accepted brief, deliverables, author/reviewer, due dates and dependencies|Confirm the accepted engineering basis;Review workload and blocked deliverables;Assign a next action without bypassing technical review|Engineering work has accountable deliverable ownership|Coordination progress is separate from technical approval.
EN-02|/engineering/basis|Requirements, interfaces, calculations, assumptions and discipline owners|Record the design basis with source revisions;Identify each interface and its owners;Resolve or explicitly own conflicting assumptions|A controlled basis and interface responsibility record|Unknown inputs remain visible; a guessed value must not become an approved design requirement.
EN-03|/engineering/drawings|Drawing reference, revision, purpose and native-source location|Find the correct technical document;Check revision and permitted use;Follow the native-source link for authoring dependencies|Users can identify the applicable technical issue|PPO references controlled documents; native CAD tools retain authoring and dependent files.
EN-04|/engineering/queries|Question/submittal, related requirement, requested response and owner|Frame a specific technical question;Link the source revision and required evidence;Record the reviewed response and affected work|An exact query has a response or owned outstanding action|A coordination note is not a reviewed technical answer.
EN-05|/engineering/reviews|Exact release set, findings, approval purpose and recipients|Review the exact documents and unresolved findings;Record authorised approval for its stated purpose;Retain transmittal and receipt evidence for the released set|The released technical set and its distribution are traceable|Approval for one purpose does not establish approval for all construction or procurement uses.
EN-06|/engineering/materials|Released requirements, quantities, units, compatibility and substitution evidence|Review the released material basis;Compare a proposed substitution with the exact requirement;Hand reviewed requirements to procurement with open exceptions|Procurement receives an attributable material requirement|A substitute needs technical compatibility review; a purchase reference alone is insufficient.
EN-07|/engineering/changes|Changed basis, purchased/installed items, cost/date impacts and recipients|Identify the initiating change and affected versions;Review downstream materials, dates and retest impacts;Record decisions and distribute exact successor evidence|Affected owners know the change and their required actions|Reviewing impact does not automatically reschedule, order or alter installed equipment.
EN-08|/engineering/commissioning|Commissioning basis, tests, redlines, configuration and training/manual evidence|Confirm test criteria and exact source basis;Review results, defects and field redlines;Prepare controlled as-built and service handover evidence|Service receives the applicable configuration and outstanding obligations|Technical completion, customer acceptance and commercial closeout remain separate.
PJ-01|/projects/new|Accepted commercial scope, customer/site, project owner and assumptions|Review the incoming commitment and source revision;Identify missing information or return reasons;Create or accept the bounded project context through permitted controls|A project has a receiving owner and defined scope|Creating a project does not resolve open contractual or technical assumptions.
PJ-02|/projects|Project owner, milestones, health evidence, completeness and recovery actions|Select the project and check its reporting basis;Review overdue milestones and explained health;Open the underlying issue before assigning recovery work|Project health has evidence and an accountable response|A colour indicator alone does not explain delivery health or acceptance.
PJ-03|/projects/programme|Baseline, forecast, dependencies, calendars and actual dates|Distinguish the saved baseline from the current forecast;Inspect dependency and calendar assumptions;Record justified changes while retaining the previous basis|Schedule movement can be explained against a preserved baseline|A Gantt edit must not silently change confirmed service bookings.
PJ-04|/projects/risks|Risk/assumption/issue/dependency, owner, impact and decision evidence|Classify the item correctly;Record the decision or mitigation and responsible owner;Review remaining exposure before closing it|Each project concern has a current disposition|An assumption is not a verified fact, and a closed action may leave residual risk.
PJ-05|/projects/commercial|Contract reference, obligation, notice date, variation and supporting evidence|Read the applicable obligation and exact scope;Record proposed/disputed changes with dated evidence;Track authorised notices and decisions separately|Commercial obligations have a traceable status and owner|Do not invent notice periods, thresholds or contractual authority.
PJ-06|/projects/subcontracts|Specialist scope, competence, deliverables, dates and procurement references|Define the package and required evidence;Check coordination and receiving responsibilities;Track deliverable acceptance and exceptions|A specialist package has clear scope and follow-through|Coordination does not substitute for authorised procurement or contract approval.
PJ-07|/projects/readiness|Engineering release, material readiness, site access, crew and customer prerequisites|Review each source prerequisite and its timestamp;Assign blockers and required evidence;Assess a change before requesting delivery movement|Readiness is supported by current source evidence|One ready component does not make the entire project ready.
PJ-08|/projects/updates|Exact update content, source basis, audience and review outcome|Prepare the update from current source records;Review sensitive information and intended recipients;Publish the exact approved revision and retain distribution evidence|Stakeholders receive a traceable update|Editing a published update requires a successor; earlier acknowledgement stays with its original content.
PJ-09|/projects/acceptance|Stage scope, acceptance evidence, defects, training and manuals|Review stage-specific completion and exceptions;Record receiving decisions with exact evidence;Keep technical, customer and commercial closure distinct|Each stage has a reviewed disposition and owned residual work|Open defects must not disappear when a stage is accepted.
SV-01|/service/tickets|Customer/site/equipment, symptoms, impact, contact and owned unknowns|Find or capture the request without duplicating an existing case;Review impact and missing context;Assign triage and the next contact or assessment action|A service request is understandable and accountable|Triage does not authorise work, confirm warranty or book attendance.
SV-02|/service/tickets|Request identity, communication evidence, coverage basis and linked visits|Open the request and review its timeline;Separate customer statements from verified findings;Link the correct authorised work and retain unresolved questions|The request history explains what is known and what happens next|A request can have several work orders or visits; one completed visit may leave the case unresolved.
SV-03|/service/work-orders|Authorised scope revision, customer/site, equipment/areas and exclusions|Confirm work authority and the exact scope;Review readiness and any out-of-scope findings;Use controlled successor scope when requirements change|An authorised work order has a clear basis for delivery|A request is not a work order; extra work requires the applicable authority.
SV-04|/schedule|Work order, appointment identity, site timezone, crew and readiness|Review the proposed visit and its contact/readiness evidence;Confirm available crew through the scheduling workflow;Track changes and individual acknowledgement|An appointment has an explicit scheduling and acknowledgement state|A proposed time, a confirmed booking and a technician acknowledgement are different.
SV-05|/service/packs|Work-order revision, appointment, selected documents, issue recipients and checks|Prepare the pack against the correct scope;Review exact source/template revisions and readiness;Issue the checked pack and track recipient acknowledgement|A reproducible issued pack is available to the intended crew|Changed content requires a new revision. Acknowledgement must not carry over automatically.
SV-06|/service/reports|Submitted field evidence, findings, labour/parts, remaining work and report revision|Review the exact technician submission;Resolve unclear evidence and separate follow-up work;Issue the controlled report through the permitted review workflow|A reviewed report reflects evidence and retained responsibilities|A completed visit does not mean all customer issues are resolved.
SV-07|/service/findings|Unresolved finding, affected asset/area, owner and linked work|Identify what remains unresolved and its evidence;Assign a next action and accountable owner;Close only when the required outcome is evidenced|Remaining work is visible across visits|Repeated symptoms should be linked without erasing previous unsuccessful fixes.
SV-08|/service/escalations|Exact configuration, symptoms, attempted diagnostics, OEM case and response|Record diagnostics already attempted and their results;Prepare the relevant configuration/evidence for escalation;Review the response and own the next authorised action|The next diagnosis builds on the retained evidence|An OEM suggestion is not proof of root cause or authority to carry out additional work.
PL-01|/schedule|Unassigned demand, work-order version, site timezone, readiness and crew|Select the demand and use Plan visit where available;Prepare the site-time proposal and continue through readiness/contact;Confirm eligible crew and inspect the resulting appointment|One traceable appointment continues the original demand|Concurrent bookings and changed work-order context must be rechecked. A proposal alone does not reserve crew.
PL-02|/service/technicians|Technician, availability, qualifications, expiry and work requirements|Review current availability and preparation flags;Check applicable competence evidence;Use the planner for controlled assignment and booking|The proposed crew can be assessed against the task|A directory listing is not a reservation or proof of all required competence.
PL-03|/schedule/capacity|Domain demand, effort basis, time period and existing commitments|Compare demand on a consistent time basis;Identify over-allocation and unknown effort;Prepare owned capacity actions for the relevant schedulers|Capacity constraints are visible with a stated basis|Capacity analysis must not silently change appointments or project commitments.
PL-04|/schedule/changes|Original appointment, proposed change, reason, contact and acknowledgements|Review the existing booking and affected crew;Record the proposed move or cancellation reason;Complete required contact and renewed acknowledgement|A scheduling change has a traceable outcome|Acknowledgement of the old appointment is not acknowledgement of a changed one.
PL-05|/schedule/travel|Visit locations, access windows, travel assumptions and grouping constraints|Review the day's confirmed visits and site constraints;Compare a proposed sequence and its travel basis;Request controlled scheduling changes where necessary|A reviewed visit sequence with explicit travel assumptions|A route suggestion is not a confirmed booking. External mapping providers remain separately configured.
FI-01|/my-jobs|Assigned visit, latest pack, personal acknowledgement, labour, parts and findings|Open the assigned job and review the issued pack;Record your own start and attributable field evidence;Prepare completion evidence and inspect the submission result|Field work is captured with an explicit submitted or outstanding state|Captured quantities are not automatically reviewed, billable or ERP processed.
FI-02|/offline/index.html|Downloaded job context, device storage, original operations and queue receipts|Download permitted job context before leaving coverage;Capture evidence and check its local-save state;Reconnect and review each queued operation's receipt or conflict|Original evidence is retained until synchronisation is confirmed|Local save, queued, synced, failed and conflict are different. Reconcile uncertain outcomes before replaying.
FI-03|/my-jobs/inspections|Exact template, test item, criteria, units, photographs and instrument|Confirm the applicable template and test basis;Capture observations with units and instrument evidence;Submit a complete attributable inspection record|Results are tied to the correct template and context|Never manufacture a pass or measured value to satisfy a required field.
FI-04|/service/inspections|Inspection revision, defects, criteria, corrective work and retest evidence|Review the submitted results and exceptions;Assign corrective actions and any hold/release decision;Retain original and retest outcomes separately|Every defect has a reviewed disposition|A retest supplements the original failure; it must not erase that history.
FI-05|/my-jobs/site-readiness|Site/area instructions, induction, hazards, biosecurity and participant|Read the current site-specific instructions;Record completion or an owned unmet condition;Escalate changed conditions before proceeding|Readiness evidence identifies the person, site and applicable instructions|Opening instructions is not evidence of induction or permission to proceed.
FI-06|/service/incidents|Incident time/context, evidence, affected people, restrictions and action owner|Capture factual observations and immediate follow-up;Restrict sensitive details to the appropriate audience;Review corrective action and closure evidence|An incident has accountable recovery and retained evidence|Do not infer blame or publish sensitive personal information in general notes.
FI-07|/service/reports|Visit attendance evidence, report revision, customer response and authority|Identify whether the response concerns attendance or report content;Record the response against the correct event/revision;Keep outstanding findings and follow-up visible|A customer response has an unambiguous meaning|Attendance acknowledgement is not approval of all work, report content or charges.
MA-01|/maintenance/agreements|Customer, covered assets, agreement revision, period and responsibilities|Find the applicable agreement and revision;Review its dates, covered items and obligations;Own unclear terms before downstream use|A traceable agreement basis for service decisions|An expired or proposed agreement must not be presented as current coverage.
MA-02|/maintenance/coverage|Agreement/warranty evidence, event date, exclusions and assessment owner|Match the asset and event to the source terms;Record the assessment basis and unresolved disputes;Keep coverage determination separate from work authority|Coverage is evidenced or explicitly unresolved|Do not infer coverage solely from an installation date or customer statement.
MA-03|/maintenance/plans|Asset context, task template, source-defined trigger and revision|Review the required maintenance basis;Define the tasks and evidenced triggers;Review successor effects on future occurrences|A maintenance plan has reproducible tasks and triggers|Do not invent service intervals or equipment maintenance requirements.
MA-04|/maintenance/due|Occurrence identity, due basis, asset state and skip/defer/cancel reason|Review due occurrences and exceptions;Record justified deferral or cancellation distinctly;Generate controlled work only once for an accepted occurrence|Each occurrence has one traceable disposition|Retry must not generate duplicate work requests.
MA-05|/maintenance/renewals|Agreement end, service history, customer contact and renewal proposal|Review obligations and unresolved service issues;Prepare a sourced renewal discussion;Record the customer's response and next action|A renewal proposal has an owner and clear status|A proposal or sales follow-up does not extend the agreement period.
MA-06|/warranty/cases|Customer claim, asset/event evidence, coverage, goodwill and authority|Record the claim and relevant source terms;Review technical/customer resolution separately from commercial treatment;Track authorised work and the exact resolution|The customer case has a evidenced disposition and open obligations|Goodwill, warranty coverage and chargeable work are separate decisions.
MA-07|/warranty/supplier-recovery|Supplier claim, linked customer case, evidence and recovery outcome|Prepare the supplier claim from retained evidence;Track the response and requested follow-up;Reconcile recovery independently from customer resolution|The supplier outcome is traceable to the original claim|Customer resolution must not be represented as dependent on an unconfirmed supplier credit.
SC-01|/supply/material-readiness|Demand line, required/available quantities, units, source time and blocker|Review demand against the authoritative source snapshot;Identify shortages and incomplete information;Assign readiness actions to the appropriate owner|Material readiness is stated with quantities, time and exceptions|Unknown availability is not zero, and a stale source is not a current promise.
SC-02|/supply/purchasing|Requirement, supplier response, commitment, approval and external reference|Prepare the purchasing request from authorised demand;Review supplier commitments and changes;Link authoritative procurement references and next actions|A sourced commitment can be followed through|The register does not replace ERP purchasing authority or authorise an order.
SC-03|/supply/shipments|Shipment, source lines, allocated quantities, ETA and logistics evidence|Allocate shipment quantities to demand lines;Review split and partial shipments;Record ETA changes and notify the responsible coordinators through the authorised process|Inbound quantities and expected timing remain attributable|Shipment ETA is not proof of receipt or material readiness.
SC-04|/supply/receipts|Delivery reference, received quantities, inspection, damage and disposition|Record the actual receipt basis;Separate accepted, damaged, short and quarantined quantities;Review disposition and retain original evidence|Received stock has a clear inspection and disposition state|Physical receipt does not imply acceptance, availability or invoice reconciliation.
SC-05|/supply/stock|Item, warehouse/bin, units, source timestamp and reservation owner|Inspect the authoritative stock snapshot;Compare available and already reserved quantities;Request or review a reservation through its owning system|A reservation has a traceable source and demand owner|Do not create a second stock master or treat a cached quantity as guaranteed availability.
SC-06|/supply/dispatch|Authorised demand, picked/staged quantities, packing and substitutions|Match picked items to the approved requirement;Resolve shortages or substitutions before packing;Review dispatch readiness and the receiving details|The dispatch is prepared with attributable quantities|Picking or staging does not prove dispatch or customer delivery.
SC-07|/supply/deliveries|Recipient, site/access, dispatched/delivered quantities and proof|Confirm delivery context and instructions;Record actual partial/full delivery evidence;Assign outstanding shortages or damage follow-up|Delivery outcome and remaining obligations are clear|A transport event is distinct from customer acceptance and financial settlement.
SC-08|/supply/returns|Returned item, reason, custody, supplier claim and credit reference|Identify the original supply and returned quantity;Track return/inspection and claim outcomes independently;Reconcile any authoritative credit reference|Physical return, claim and credit each have their own outcome|A return receipt is not proof that a credit has been issued.
SC-09|/supply/changes|Changed material, affected demand, dates, costs and technical review|Identify every affected allocation or commitment;Review technical and delivery impact;Ask the owning workflows to make controlled downstream changes|Material change impacts have responsible owners|A proposed substitution cannot silently alter bookings, released design or commercial scope.
SC-10|/supply/service-stock|Warehouse/van/job custody, used/returned/damaged/missing quantities and units|Record custody transfers against the correct job;Reconcile captured usage with returned and exceptional quantities;Resolve unexplained differences with the accountable owner|Stock movement and job usage can be reconciled|Captured use is separate from approved billing and ERP stock processing.
PD-01|/products|Product/model/variant, technical attributes, units and source evidence|Find the exact model and variant;Review applicable technical and lifecycle information;Use the controlled source when selecting a product|The selected product has an attributable technical basis|Similar product names do not establish interchangeability.
PD-02|/products/publication|Draft revision, changed attributes, reviewer and publication audience|Prepare changes with supporting evidence;Review the exact successor revision;Publish or withdraw through the agreed catalogue lifecycle|Users can distinguish draft and published product information|Publication of catalogue data is not technical approval for a particular installation.
PD-03|/products/pricing|Supplier source, price revision, currency, units, validity and FX basis|Identify the applicable supplier price source;Review revision and validity changes;Preserve existing estimate cost bases when preparing refresh proposals|Pricing evidence is current and traceable|A refreshed price book must not silently reprice an issued quotation.
PD-04|/products/compatibility|Model/version, interface, replacement evidence and lifecycle limits|Compare the intended equipment configuration;Review compatibility and replacement evidence;Record limitations and the technical review outcome|A proposed replacement has a stated evidence basis|A successor product is not automatically a compatible substitute.
PD-05|/products/import|Source file, mapping, units, duplicates and validation findings|Stage the source and inspect field mappings;Resolve exceptions and duplicate candidates;Review the intended change set before controlled application|An import has a reviewable and attributable outcome|A source file is not authority to overwrite controlled catalogue records.
FN-01|/finance/handoffs|Reviewed source quantities, handoff revision, processing authority and receipts|Prepare the exact reviewed handoff basis;Complete distinct review and processing actions;Reconcile accepted, rejected, non-posting and unknown outcomes|One controlled financial handoff has a reconciled outcome|Captured, reviewed, billable and ERP-processed quantities differ. Retry must not duplicate financial effects.
FN-02|/finance/accounts|Customer/entity, account identity, source time, currency and transaction basis|Select the correct customer account and company;Review the authoritative observations and completeness;Investigate unapplied, disputed or unmatched amounts|The account view has a stated source and owned exceptions|Invoices, revenue, receipts and balances are distinct. An observed balance is not a live ERP guarantee.
FN-03|/finance/projects|Budget, actuals, commitments, forecast, billing and cash definitions|Select the project and reporting basis;Compare measures only where definitions and periods align;Own material differences and incomplete sources|Financial performance is explainable and reproducible|Do not add commitments and invoices without an agreed overlap treatment.
FN-04|/finance/claims|Milestone/variation, entitlement evidence, claim period and approval|Review the contractual basis and completion evidence;Prepare the claim with exclusions and unresolved matters;Track approval and authoritative financial processing separately|A claim has a sourced basis and explicit next owner|A prepared claim does not establish invoicing, payment or legal entitlement.
FN-05|/finance/outlook|Cash basis, forecast period, currency, assumptions and source completeness|Separate actual receipts/payments from forecast scenarios;Review timing assumptions and missing data;Record scenario changes with their rationale|The outlook explains its time, source and uncertainty|Pipeline or invoice values must not be treated as cash already received.
FN-06|/finance/definitions|Measure definition, source mapping, reconciliation rule and reviewer|Agree what the measure includes and excludes;Review mapping and sample reconciliation evidence;Publish controlled changes with impact information|Reports use an agreed, traceable definition|Do not invent accounting thresholds, allocation formulas or approval authority.
DK-01|/documents|Document identity, provider, revision, applicability and linked record|Find the document by business context;Check status and applicable revision;Open the authoritative source with its normal permissions|The correct document is located with its source identity|SharePoint remains the intended business-document authority. A copied filename is not a stable document ID.
DK-02|/documents|Exact issue identity, revision, hash and review context|Open the issued document from its owning record;Check scope, revision and issue purpose;Record review or response against that exact content where supported|The viewed content can be identified precisely|Opening a document does not acknowledge it. Changed bytes require a successor issue.
DK-03|/documents/issues|Generated output, checked/approved revision, issue and distribution evidence|Review the prepared output and source basis;Issue only through the owning authorised workflow;Track sent, delivered and acknowledged outcomes distinctly|Each output has a traceable issue and distribution history|Regeneration must not overwrite the exact previously issued document.
DK-04|/knowledge|Search terms, task/equipment applicability and article revision|Search for the relevant task or symptom;Check article applicability and review status;Follow the verified related procedure where required|The reader finds guidance appropriate to the task|A search result is not proof that an article is current or approved.
DK-05|/knowledge/review|Draft article, learning evidence, reviewer and publication scope|Prepare content from verified observations;Review accuracy and sensitive information;Publish a successor or withdraw unsuitable guidance|Knowledge has an accountable editorial state|A proposed lesson must not silently become an approved operational procedure.
DK-06|/documents/templates|Template identity, revision, fields, applicability and approval basis|Review the template and conditional fields;Preview it with synthetic representative data;Publish the exact reviewed revision for its intended use|Generated documents can identify their template basis|A template change must not alter previously issued outputs.
DK-07|/help|Page context, guide key/revision, task evidence and coverage gaps|Open User guide for the selected register entry;Use contents or guide search to find the task;Review applicability and follow related guidance before acting|Every registered context resolves to meaningful guidance|This register supplies a portable guide library. Wiring its content to the live application's information icon is separate implementation.
EC-01|/email|Message/thread, mailbox owner, intended linked record and privacy scope|Read the message in its correct mailbox context;Link only the relevant permitted business record;Create an explicit follow-up when work is required|Communication context is retained with accountable follow-up|The existing journey is synthetic. Reading or linking a message does not send a reply or connect a provider.
EC-02|/email/connections|Provider account, consent scope, sync status and recovery owner|Inspect connection and last-success information;Resolve consent or provider failures through the supported process;Review removal and retained-data implications|Connection state is explicit and recoverable|A disconnected mailbox and deleted local content are different outcomes.
