decision_id,question,proposed_owner,closure_evidence_and_gate,status,current_note,source
D-011,Customer/site/asset identity and multi-company mappings,Data owners/Finance,"Master ownership, keys and duplicate-resolution rules / G1",Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-012,"SharePoint locations, access, retention and issued evidence",Document owners/Systems,Repository and permission/retention design / G2,Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. P06 ADR-0011 selects only private synthetic file durability, provisional text branding/explicit response and no outgoing messages; operational acceptance remains open. P07 ADR-0012 adds bounded personal start authority, immutable typed online evidence and private synthetic PNG recovery; offline/report/Finance and operational policy acceptance remain open. P08 ADR-0013 defines synthetic owner-bound IndexedDB, original replay and narrow recovery with exact CI/browser evidence in p08-handover; no operational device/encryption/retention, report/Finance, hosting or independent acceptance closure. P09 ADR-0014 implements synthetic exact service review, narrow attendance acceptance, durable customer reports and content-bound responses; verification/publication in p09-handover. No operational branding/signature, Finance, live integration, distribution or independent acceptance closure.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-013,Pipedrive feature parity and history requirements,Sales/Systems,Capability and migration inventory / G2 before CRM replacement,Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. PPO-009 BP-03 r01 and docs/blueprints/crm-parity.md expand PAR-01–PAR-18 with bounded stage refresh, proposed outcomes and owned evidence requests; account identity/full usage/history and owner acceptance remain open. BP-03 I2 scoped worklist is implemented with actual verification/publication in docs/delivery/crm-i2-handover.md; no operational parity or source transition decision is closed. On 10 September 2026 Dean accepted report r02 product scope/priorities and four current-stage deferrals; docs/decisions/crm-approved-scope.md and BP-03 r06 govern. Manual Leads are included. Account-specific mappings, operational parity and transition acceptance remain open.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-014,Smartsheet approved processes and migration boundaries,Projects/data steward,Validated operational/prototype classification / G2 before project replacement,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-015,"Booking authority, calendars, travel, skills and exceptions",Service/Projects,Scheduling policy and representative examples / G1,Open,"P05 ADR-0010 defines bounded synthetic booking authority, immutable published calendars/skills/availability, explicit travel, customer contact and all-or-nothing crew controls. Operational roster/trade/travel policy and representative real examples remain open; no employee assignment or operational approval is inferred. P07 ADR-0012 adds bounded personal start authority, immutable typed online evidence and private synthetic PNG recovery; offline/report/Finance and operational policy acceptance remain open.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-016,"Devices, offline duration, connectivity and lost-device treatment",Service/Systems,"Device matrix, offline data scope and test results / G2",Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. P07 ADR-0012 adds bounded personal start authority, immutable typed online evidence and private synthetic PNG recovery; offline/report/Finance and operational policy acceptance remain open. P08 ADR-0013 defines synthetic owner-bound IndexedDB, original replay and narrow recovery with exact CI/browser evidence in p08-handover; no operational device/encryption/retention, report/Finance, hosting or independent acceptance closure.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-017,"Financial measures, tax/currency treatment and reconciliation",Finance,Approved data dictionary and reconciled examples / G2,Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. P10 ADR-0016 implements bounded synthetic Finance contexts, exact source allocations/outcomes and OUT-14; actual verification/publication in docs/delivery/p10-handover.md. No operational accounting, live ERP or retention decision is closed. P11 ADR-0018 records Dean's approved synthetic whole-minute Travel as separate NonBillable/no-posting evidence. No operational payroll, cost or billing policy is closed.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-018,"Service coverage, recurrence, warranty and response commitments",Service/Commercial,Coverage rules and contract examples / G2 for included scope,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-019,"QHSE, biosecurity and customer operating controls",QHSE/Engineering/Service,Applicable policies and qualified reviewer / G2,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-020,"Identity, permissions, privacy and external access",Systems/data owners,Role/action/data matrix and security review / G2,Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. P08 ADR-0013 defines synthetic owner-bound IndexedDB, original replay and narrow recovery with exact CI/browser evidence in p08-handover; no operational device/encryption/retention, report/Finance, hosting or independent acceptance closure.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-021,"Load, availability, recovery, retention and accessibility targets",Sponsor/Systems/process owners,Approved measurable NFR baseline / G2,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-022,"Architecture, hosting and integration platform",Architect/Systems,Option assessment and architecture decisions / G2,Partially resolved,"BP-02/ADR-0003 select prototype design recommendation; implementation feasibility, costed hosting and operational architecture remain open. P05 ADR-0010 adds real PostgreSQL crew reservation and controlled-change component evidence; no hosting/operational approval. P07 ADR-0012 adds bounded personal start authority, immutable typed online evidence and private synthetic PNG recovery; offline/report/Finance and operational policy acceptance remain open. P08 ADR-0013 defines synthetic owner-bound IndexedDB, original replay and narrow recovery with exact CI/browser evidence in p08-handover; no operational device/encryption/retention, report/Finance, hosting or independent acceptance closure. P09 ADR-0014 implements synthetic exact service review, narrow attendance acceptance, durable customer reports and content-bound responses; verification/publication in p09-handover. No operational branding/signature, Finance, live integration, distribution or independent acceptance closure.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-023,"Delivery team, funding, procurement and support ownership",Sponsor/Finance,Costed plan and delivery/support agreement / G2,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-024,"Branding, templates, issue/signature policy and accessibility",Document owners/Commercial,Approved representative outputs / G2,Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. P06 ADR-0011 selects only private synthetic file durability, provisional text branding/explicit response and no outgoing messages; operational acceptance remains open. P08 ADR-0013 defines synthetic owner-bound IndexedDB, original replay and narrow recovery with exact CI/browser evidence in p08-handover; no operational device/encryption/retention, report/Finance, hosting or independent acceptance closure. P09 ADR-0014 implements synthetic exact service review, narrow attendance acceptance, durable customer reports and content-bound responses; verification/publication in p09-handover. No operational branding/signature, Finance, live integration, distribution or independent acceptance closure. P10 ADR-0016 implements bounded synthetic Finance contexts, exact source allocations/outcomes and OUT-14; actual verification/publication in docs/delivery/p10-handover.md. No operational accounting, live ERP or retention decision is closed.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-025,"Email/calendar, notifications and customer communication rules",Sales/Service/Systems,"Supported integrations, scope and approval/delivery rules / G2",Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. P05 implements typed manual/simulated scheduling contact and owned follow-up only; no sending or delivery integration. P06 ADR-0011 selects only private synthetic file durability, provisional text branding/explicit response and no outgoing messages; operational acceptance remains open. P09 ADR-0014 implements synthetic exact service review, narrow attendance acceptance, durable customer reports and content-bound responses; verification/publication in p09-handover. No operational branding/signature, Finance, live integration, distribution or independent acceptance closure. PPO-009 BP-03 section 9 proposes explicit communication direction, permissions, deduplication and uncertain-outcome handling; account settings remain unverified and no sending or sync is enabled. BP-03 I2 scoped worklist is implemented with actual verification/publication in docs/delivery/crm-i2-handover.md; no operational parity or source transition decision is closed. Accepted report r02 retains individual correspondence and email/calendar integration as Next, while marketing is deferred. Provider, filing, sync-direction and operational authority decisions remain open; see docs/decisions/crm-approved-scope.md.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-026,"Migration, coexistence, reconciliation and cutover",Data owners/acceptance lead,Rehearsal results and approved cutover/rollback / G3–G5,Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. PPO-009 BP-03 section 8 proposes single-writer coexistence, source identity/history/delta reconciliation and future cutover/rollback criteria; no import, rehearsal or operational acceptance executed. BP-03 I2 scoped worklist is implemented with actual verification/publication in docs/delivery/crm-i2-handover.md; no operational parity or source transition decision is closed.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-027,"Workshop, portals, fleet, telemetry and AI priorities",Sponsor/domain owners,Separate option/business case before inclusion / applicable G1/G2,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-028,"Aftercare ownership, external partners and group-company scope",Leadership/Sales/Service,Operating boundaries and authorised relationships / G1,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-029,Proposed Powerplants One name and GitHub development governance,Product owner/Systems,"Name decision, company ownership, access/plan assessment and repository workflow approval / G1; release controls before G2",Partially resolved,"Powerplants One / PPO and naming confirmed in ADR-0005; private repository workflow retained. Future ownership, recovery, enforceable controls and operational support remain open. P08 ADR-0013 defines synthetic owner-bound IndexedDB, original replay and narrow recovery with exact CI/browser evidence in p08-handover; no operational device/encryption/retention, report/Finance, hosting or independent acceptance closure. P09 ADR-0014 implements synthetic exact service review, narrow attendance acceptance, durable customer reports and content-bound responses; verification/publication in p09-handover. No operational branding/signature, Finance, live integration, distribution or independent acceptance closure.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
