id,r10_field,meaning,unit,structure_family,native_candidate,native_meaning_unit,mapping_classification,conversion_or_derivation,source_authority,calculation_impact,historical_run_impact,open_question,evidence
F16,families.gothic.gutter,Gutter height under pointed quadratic study roof,m,Gothic,None; not inputs.height,Native height is screen level m,Informational,Store gutter_height_m; no automatic 0.42 m screen offset,Entered/adopted observation or assumption,Ridge/volume/drawings only,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Actual screen plane and profile basis?,R10 geometrySpecs/defaultFamilies; N1/N2
F17,families.gothic.spacing,Longitudinal frame spacing; presets 2.5/3/3.5/4,m,Gothic,inputs.bay; never inputs.spacing,Longitudinal cloth bay m vs drive target m,Direct,Conditional physical match; 3/4 supported by cloth lookup; 2.5/3.5 cannot calculate under current definition,Entered structural spacing; reviewed meaning required,Panel length/count; native lookup may block,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Which frame intervals are screen supports?,R10 geometrySpecs/defaultFamilies; N1/N2
F18,families.gothic.roofAngle,Equivalent roof-rise angle; not a local curved-roof tangent,degree,Gothic,None,No native angle/curve field,Informational,rise=span/2*tan(angle); retain exact method/crown convention,R10 simplified convention; supplier profile unconfirmed,Rise/profile area/arc/volume,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,What actual supplier profile replaces this approximation?,R10 geometrySpecs/defaultFamilies; N1/N2
F19,families.sawtooth.span,Transverse sawtooth bay width; presets 8/9.14/9.75/12,m,Sawtooth,inputs.span; never inputs.bay,Native span transverse; native bay longitudinal,Direct,Same transverse structural span subject to explicit axis confirmation,Entered study preset or confirmed dimension,Width/rise/slope/opening; accepted native span affects quantities,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Does sawtooth bay mean same physical screen span?,R10 geometrySpecs/defaultFamilies; N1/N2
F20,families.sawtooth.spans,Count of connected transverse sawtooth bays,count,Sawtooth,inputs.spans; never inputs.bays,Native physical transverse spans count,Direct,Whole count; do not map label bay to longitudinal bays or motor groups,Entered arrangement,Total width/vent area/panel multiplicity,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,One connected physical envelope and compatible supports?,R10 geometrySpecs/defaultFamilies; N1/N2
F21,families.sawtooth.length,Longitudinal structure extent,m,Sawtooth,facts.length via bays/bay,Physical longitudinal length m,Derived,Verified uniform frame/support grid only; no residual to odd mapping,Entered/adopted observation,Grid/area/volume/vent area/schedule,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Custom end conditions?,R10 geometrySpecs/defaultFamilies; N1/N2
F22,families.sawtooth.eave,Low eave/gutter height,m,Sawtooth,None; not inputs.height,Native height is screen plane m,Informational,Store low_eave_height_m; no invented minus 0.40 m screen level,Entered physical observation or assumption,Peak/volume/elevation,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Actual screen level and vent clearances?,R10 geometrySpecs/defaultFamilies; N1/N2
F23,families.sawtooth.spacing,Longitudinal frame spacing; presets 3/3.66/4,m,Sawtooth,inputs.bay; never inputs.spacing,Longitudinal cloth support bay vs drive target,Direct,After axis/support confirmation; 3/4 fit lookup; 3.66 does not,Study preset; supplier-specific use unverified,Grid/panel length; native cloth lookup may block,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Are 12 ft frame centres also screen bays?,R10 geometrySpecs/defaultFamilies; N1/N2
F24,families.sawtooth.roofPitch,Single-slope roof angle,degree,Sawtooth,None,No slope/angle field in native quantity model,Informational,rise=span*tan(angle); slope=span/cos(angle),Entered study assumption,Peak/slope/volume and vent-domain check,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Confirm real slope and supplier profile,R10 geometrySpecs/defaultFamilies; N1/N2
F25,families.sawtooth.ventHeight,Gross high-side vertical opening,m,Sawtooth,None,No vent quantity/performance field,Informational,Geometric area only; vent must be below rise,Entered study assumption,Gross vent area/ratio and geometry validity,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Clearances/engineering and effective aerodynamic area remain unknown,R10 geometrySpecs/defaultFamilies; N1/N2
F26,state.structureType,Chosen geometry family venlo/quonset/gothic/sawtooth,enum,All,inputs.roof is not equivalent,Gable/Arch/Venlo drawing enum without family quantity support,Requires new definition,New discriminant; preserve current roof display independent of quantity authority,Explicit user family decision; Facility broad structure_type insufficient,Selects geometry; not permission to switch quantity rule family,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Which family/quantity applicability definition is approved?,R10 commonDefaults/calculate; N1/N6; F1
F27,state.gridMode,custom retains residual; whole blocks nonconforming schedule,enum,All,None; not inputs.odd,Native odd substitutes one fixed-length bay and changes cloth count,Requires new definition,New Whole/Custom study policy; preserve entered extent,User design-study choice,Controls schedule eligibility; no direct quantity change,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Supplier end-condition definition?,R10 partition/statusModel; N2
F28,state.profile,pipe/push-pull; cable/pull-wire; fixed concept,enum,All,inputs.drive candidate unverified,Pinion/Cable actual recovered quantity branches; separate C99/C102 fields,Unsupported,Do not map pipe to Pinion or cable to Cable without verified mechanism definition; fixed has no equivalent,R10 informational concept only,Notation only in r10; native would change drives/parts/motor bands,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Mechanism/parts/speed/load agreement?,R10 profileHelp/drawVenloTop; N2/G1
F29,state.allowance,Total transverse allowance subtracted once from opening,mm,All,None; not overhang/drive_span_deduction_m,overhang m each end added to cut; drive deduction m removes available drive width,Requires new definition,mm/1000 for geometry; draw half per edge only as convention,Entered study assumption; supplier attachment rule absent,Opening/roll fit; cannot modify native cut or drives,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Does allowance include actual profile/clearance and on which axis?,R10 screenSpecs/finaliseSpanModel; N2
F30,state.overlength,Longitudinal installation overlength,percent,All,None; not inputs.shrink,shrink divides transverse group width by (1-p/100),Requires new definition,Study length=section*(1+p/100); neither equal to shrink divisor nor same axis,"Entered assumption, not universal fabric factor",Panel length/net totals; no native automatic consumer,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Supplier directional shrink/stretch rule?,R10 screenSpecs/buildSpanPanels; N2
F31,state.waste,General linear roll allowance,percent,All,None; not inputs.spares,spares affects LS wire roll formula only,Requires new definition,Multiply net/standard-blank totals by 1+w/100; never panel dimensions,Entered roll study allowance,Totals only; no cloth/wire procurement mapping,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Confirmed nesting/waste/roll-length basis?,R10 finaliseSpanModel; N2
F32,state.productRef,Free-text supplier/product description max 80,text,All,Study product context; not native part_id or extra.material authority,Native part identity resolved from versioned rules; extra material text not catalogue verification,Informational,Retain text and evidence ref; no fuzzy SKU lookup,User-entered reference; not supplier confirmation,No r10 geometric effect; affects evidence/review applicability,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Exact product identity/version and supplier source?,R10 commonDefaults/productRef listener; N1/N2
F33,state.fabricDirection,unspecified / warp-length / weft-length orientation,enum,All,None,Native quantity definition has no material-axis orientation contract,Informational,Record direction separately; r10 does not rotate/nest dimensions from it,Entered assumption; supplier confirmation required,No r10 arithmetic effect; should inform future verified cutting definition,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Meaning of length relative to product weave and physical axes?,R10 commonDefaults/configPayload; N2
F34,state.rollWidth,Entered usable fabric roll width; nullable,mm,All,inputs.sheet is only a non-equivalent candidate,sheet G71 m is wider cloth sheet relative to native clothWidth; roll G58 is LS wire m/roll,Requires new definition,mm-to-m alone does not prove axis/usable-vs-nominal compatibility; keep study width separate,User-entered/explicitly evidenced supplier width,One-panel-across fit test only; no native wider-sheet/offcut/LS-wire write,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Usable width rules/selvedge/product orientation?,R10 finaliseSpanModel; N1/N2
F35,state.ventilation,Show schematic vents,boolean,All,Study drawing preferences,No native quantity field,Informational,Map to view preferences; not formula switches,User presentation preference,Drawing only; no material suppression,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Which options belong in saved canonical drawing policy?,R10 commonDefaults/draw*
F36,state.mechanics,Show screen/mechanism notation,boolean,All,Study drawing preferences,No native quantity field,Informational,Map to view preferences; not formula switches,User presentation preference,Drawing only; no material suppression,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Which options belong in saved canonical drawing policy?,R10 commonDefaults/draw*
F37,state.dimensions,Show dimensional annotations,boolean,All,Study drawing preferences,No native quantity field,Informational,Map to view preferences; not formula switches,User presentation preference,Drawing only; no material suppression,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Which options belong in saved canonical drawing policy?,R10 commonDefaults/draw*
F38,project.projectName,Optional project/study title max 100,text,All,Configuration name / optional study title,Native UUID/reference/actor/purpose retained separately,Informational,Display context from native records; preserve exact run-time label snapshot,PPO context authoritative; user title is a label,Title block and evidence; no quantity effect,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Which audience can receive this label?,R10 normaliseProject/drawing; N3/N5
F39,project.projectRef,Optional free-text project reference max 40,text,All,Existing configuration/project reference,Native UUID/reference/actor/purpose retained separately,Informational,Display context from native records; preserve exact run-time label snapshot,PPO stable identity authoritative; imported text untrusted,Title block and evidence; no quantity effect,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Which audience can receive this label?,R10 normaliseProject/drawing; N3/N5
F40,project.preparedBy,Optional preparer label max 60,text,All,Server actor plus optional team label,Native UUID/reference/actor/purpose retained separately,Informational,Display context from native records; preserve exact run-time label snapshot,Authenticated server actor; label cannot spoof reviewer,Title block and evidence; no quantity effect,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Which audience can receive this label?,R10 normaliseProject/drawing; N3/N5
F41,project.issueNote,Purpose note max 120,text,All,Study purpose note,Native UUID/reference/actor/purpose retained separately,Informational,Display context from native records; preserve exact run-time label snapshot,User text; never issue/release state,Title block and evidence; no quantity effect,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Which audience can receive this label?,R10 normaliseProject/drawing; N3/N5
F42,selected.w,Zero-based selected width-module index,index,All,Study selected panel,No native quantity input; UI numeric selectors one-based,Informational,Convert UI +1 only; bind to study grid hash; historical selection has original panel identity,User selection,Inspection/highlight only; do not invalidate calculations,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,How to clear/reselect on topology change?,R10 selected/bindPlanSelection/renderPanelInspection
F43,selected.l,Zero-based selected longitudinal-section index,index,All,Study selected panel,No native quantity input; UI numeric selectors one-based,Informational,Convert UI +1 only; bind to study grid hash; historical selection has original panel identity,User selection,Inspection/highlight only; do not invalidate calculations,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,How to clear/reselect on topology change?,R10 selected/bindPlanSelection/renderPanelInspection
F44,"views.front.{zoom,panX,panY,W,H}",Viewport zoom/pan and measured sheet dimensions,factor / SVG units / px,All,Ephemeral native view state,No quantity model field,Informational,Canonical export uses fixed sheet model; UI transform only; not in r10 configPayload,Browser presentation state,Drawing viewport only; no review basis,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Keyboard pan and fixed-sheet export layout?,R10 views/drawing/applyViewBox
F45,"views.side.{zoom,panX,panY,W,H}",Viewport zoom/pan and measured sheet dimensions,factor / SVG units / px,All,Ephemeral native view state,No quantity model field,Informational,Canonical export uses fixed sheet model; UI transform only; not in r10 configPayload,Browser presentation state,Drawing viewport only; no review basis,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Keyboard pan and fixed-sheet export layout?,R10 views/drawing/applyViewBox
F46,"views.top.{zoom,panX,panY,W,H}",Viewport zoom/pan and measured sheet dimensions,factor / SVG units / px,All,Ephemeral native view state,No quantity model field,Informational,Canonical export uses fixed sheet model; UI transform only; not in r10 configPayload,Browser presentation state,Drawing viewport only; no review basis,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Keyboard pan and fixed-sheet export layout?,R10 views/drawing/applyViewBox
F47,baseline,Captured common metrics and metadata for replaceable comparison,object,All,Exact native run comparison,Immutable previous run/resolved set rather than mutable metrics cache,Unsupported,Replace with selected authorised run IDs; do not import baseline metrics as truth,Mutable local source state,Comparison only; cannot approve quantities,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Same-family vs cross-family comparison labels?,R10 captureBaseline/currentComparisonSnapshot; N4/N5
F48,schema / savedAt,Portable JSON format marker and client save timestamp,text / ISO instant,All,Version dispatch / server creation metadata,Native schema and server actor/time authoritative,Unsupported,No native primary-record restore; explicit future import may parse source format only,Untrusted client file metadata,No calculation; affects interchange validation,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Is a bounded legacy import business purpose later authorised?,R10 configPayload/applyImported; N3/N5
F49,legacy import state.factor / state.bay,Old Venlo alias overlength factor / module name,percent / m,Venlo legacy import only,No initial native import,Do not conflate legacy bay alias with native longitudinal bay,Unsupported,Retire automatic alias migration; any future converter must pin original schema and preview meanings,"Legacy standalone schema, not current native authority",Potential axis/percentage corruption if copied blindly,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Need a verified migration fixture per old schema?,R10 applyImported r02 branch
