id,calculation_or_output,inputs,formula_or_method,unit,rounding_precision,structure_families,native_equivalent_or_consumer,automatic_handover_safe,mapping_classification,required_verification,failure_unknown_behaviour,source_evidence_status,evidence
C24,Standard-blank basis,"nominal spacing,overlength,count,waste",spacing*(1+overlength/100)*count*(1+waste/100),linear m,Number; display/export 3 decimals,All,No equivalent; not net of residuals and not native cut count,No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,Default 534.492 vs 509.04; explain excess from nominal lengths,Failed roll withheld; unknown roll assumed; never approved procurement,Observed r10 prototype method; not engineering or supplier acceptance,R10 finaliseSpanModel/summary
C25,Roll known / fit,"widest opening,usable rollWidth",Known finite >0; maxOpening*1000 <= rollWidth+0.0001,status,R10 tolerance 0.0001 mm; Quonset additionally requires validOpening,All,Native sheet>=clothWidth is a different axis/rule; roll=LS wire length,No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,Unknown/exact fit/fail; approximate chord uncertainty; actual usable width,Unknown null; false must not become approved; source non-Quonset fit can be evaluated on invalid geometry,Observed r10 prototype method; not engineering or supplier acceptance,R10 finaliseSpanModel/calculateQuonset
C26,Geometry validity,family input and cross-field constraints,Quonset rise/screen bounds; Sawtooth vent<rise-1e-6; Venlo/Gothic structureValid true under UI assumption,status,Source mixed 1e-6 m checks,All,Native numeric bounds/drive/cloth lookup are separate validity,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Full strict DTO and active domain cases incl imports,Do not inherit r10 valid flag from untrusted payload or permissive family default,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculate*/statusModel
C27,Grid conformity and schedule eligibility,"partial flags,gridMode,validOpening",gridConforming=no residual; fabricationAllowed=validOpening && (not whole || gridConforming),status,Exact flags after mm partition,All,No fabrication approval or receiving eligibility equivalent,No currently activated automatic handover; study/context only until a separately verified definition,Informational,"Whole grid, custom, roll failure; rename preliminary schedule eligibility",R10 permits CSV despite failed roll and all supplier unknowns; native clear status,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculate*/summary
C28,Scenario metric deltas,"mutable baseline metrics,current results",current-baseline for area/volume/width/height/panels/opening/material lengths,mixed units,Per metric 0/1/2/3 display decimals; delta near 1e-9 neutral,All,Native compares immutable evidence and B/C/N quantities/targets,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Exact run IDs; comparable units/families; unavailable states,"Current source suppresses only roll-fail totals, not all invalid geometry; native no invalid deltas",Observed r10 prototype method; not engineering or supplier acceptance,R10 currentComparisonSnapshot/renderScenarioComparison; N4
C29,Stable configuration signature,active family/geometry/common screen basis,32-bit FNV-like JSON.stringify hash to 8 hex digits,hex,32-bit; object order; no cryptographic collision resistance,All,Native SHA256 canonical calculation/proposal/evidence hashes,No currently activated automatic handover; study/context only until a separately verified definition,Unsupported,Domain-tagged versioned canonical hash; historical signatures never trusted,No identity/security/receipt use; project/view/source version omitted,Observed r10 prototype method; not engineering or supplier acceptance,R10 stableSignature; N2 hash
C30,Front elevation,"profile/grid,height,mechanics,vents,dimensions",Family-specific scaled SVG; Venlo double peaks; Quonset 72 curve segments; Gothic 48; Sawtooth single slopes,SVG coordinates / labelled m/mm,DOM-sized sheet; notation enlarged and NTS,All,Existing schematic cross-section differs; not structural drawing,No currently activated automatic handover; study/context only until a separately verified definition,Informational,"Consistent dimensions, conventions, screen plane and source status",Invalid family must not draw an apparently approved geometry; numeric equivalent needed,Observed r10 prototype method; not engineering or supplier acceptance,R10 drawing/draw*Front; N6
C31,Side elevation,"length sections,height envelope,view flags",Frame/hoop stations and selected longitudinal section; vents/purlins schematic,SVG coordinates / m,DOM-sized sheet; fixed visual offsets,All,Native bay section explains quantity mechanics rather than full elevation,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Residual station; declared symbolic members and heights,No engineered member size/count inferred from symbols,Observed r10 prototype method; not engineering or supplier acceptance,R10 draw*Side; N6
C32,Plan and selected section,"partitions,opening,selected index,transform",Draw grid and selected rectangle; hit-test uses planMap; source currently wrong full-height transform,SVG coordinates / m; ID,Viewport scale/pan; click disabled when zoom>1,All,Native plan grouping differs; panel grid not motor grid,No currently activated automatic handover; study/context only until a separately verified definition,Informational,W08-L14 negative control; keyboard/click equivalence across transforms,Current observed selection wrong; fix natively not in issued r10,Observed r10 prototype method; not engineering or supplier acceptance,R10 draw*Top/bindPlanSelection; audit browser evidence
C33,Technical title block/legend,"native-equivalent context,source signature,view,sheet",r10 labels project/prepared/CFG/R10/NTS/STUDY with clipped display strings,text,Viewport-dependent compact/full layout; truncation,All,Native run context/evidence metadata,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Actual run sequence distinct from source r10; complete accessible context,Never use typed preparedBy as authenticated reviewer; cannot imply formal issue,Observed r10 prototype method; not engineering or supplier acceptance,R10 drawing/titleBlock; N3/N5
C34,SVG export,current rendered SVG/views dimensions,"clone; set full viewBox,width,height,xmlns; serialize XML",SVG file,Current DOM layout not canonical physical sheet,All,Native exact-run export needs safe typed serializer,No currently activated automatic handover; study/context only until a separately verified definition,Informational,"Viewport-independent canonical drawing export, no scripts/external URL, hash manifest",Current mutable state export not historical evidence; fit must remove pan crop,Observed r10 prototype method; not engineering or supplier acceptance,R10 data-export listener; N5
C35,Panel CSV export,project/state/geometry/schedule/results,"quoted rows; mm toFixed(1), lm toFixed(3); enabled by fabricationAllowed",CSV,Display rounding; BOM/CRLF,All,Not native estimate/MYOB import or part order,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Safe formula-leading metadata; explicit unknown/fail and basis; exact saved run,Geometric study only; imported text untrusted; no supplier rule implied,Observed r10 prototype method; not engineering or supplier acceptance,R10 csvCell/exportCuts listener
C36,Portable JSON/local browser storage,"project,state,all families,selection,baseline",JSON payload schema/savedAt; load/import applies defaults and object spreads,JSON,Raw JS numbers; no immutable history/hash,All,PostgreSQL immutable native snapshots and receipts,No currently activated automatic handover; study/context only until a separately verified definition,Unsupported,Initial increment has no restore; any future import strict scoped preview,Unvalidated families can hang partition; never accept source actor/hash/approval,Observed r10 prototype method; not engineering or supplier acceptance,R10 configPayload/applyImported/loadLocalIfPresent
C37,Native cloth quantities (rejected r10 substitutions),"native groups,wallSpans,bays,shrink,overhang,cloth lookup",Native count*ceil0.1(groupWidth/(1-shrink)+2*overhang)*clothWidth; extras round before overhang,m2 / m,Existing exact rational/floor/up policy,Existing recovered family only; not validated by r10 roof,CE-LINE-223/224/225/227-231; manual/gates retained,No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,All 143 quantities unchanged without mapping; independent Appendix E golden set,No panel count/opening/net lm direct injection; unapproved family stays study only,Observed r10 prototype method; not engineering or supplier acceptance,N2 engine; G1 ADR-0034
C38,Native wire/drive/motor quantities (no r10 equivalent),"native drive groups,available width,spacing,bed/wire inputs,cloth/motor area",Existing exact rules; drives=(round((groupWidth-deduction)/target)+1)*groups*down; motor count=across*down; recovered torque bands,m / rolls / each / Nm,Existing exact rounding/bands,Current recovered rules; separate support evidence,CE-LINE-240 onward; source manual finals and REV/WAS findings,No currently activated automatic handover; study/context only until a separately verified definition,Unsupported,No profile-to-drive alias; no frame/panel-to-motor mapping; preserve manual finals,No structural adequacy or motor selection from geometry; source unresolved stays unresolved,Observed r10 prototype method; not engineering or supplier acceptance,N2 recoveredTorque/engine; N4 policy
