key,label,source,display_unit,calculation_type,technical_constraint,stored_draft,default_attribution,applicability
sheet,Wider sheet width,G71,m,Exact decimal,>=0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
edge,Overhang fixing,C73,,Enum,Exact enum: Hooks / Weights / Blackout,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
hookSpacing,Edge clip spacing,G73,m,Exact decimal,>0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
leading,Leading edge,C63,,Enum,Exact enum: Tube - Alum / Tube - Steel / Profile,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
bed,Bed fastening,C43,,Enum,Exact enum: Crosswire / Truss Clip,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
supports,Crosswire supports per bay,C44,count,Integer,>=0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
strainers,Strainers per crosswire,C47,count,Integer,>=0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
replaceLS,Replace LS wire,C59,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
roll,LS wire roll length,G58,m/roll,Exact decimal,>0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
spares,LS wire spare allowance,G211,%,Exact decimal,>=0; <=1000000; <=6 decimal places; <=100 percent,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
twine,Baling twine,G53,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
footy,Oval edge-wire clamps,C55,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
crossClips,Crosswire clips,C56,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
crossSpacing,Crosswire clip spacing,G56,m,Exact decimal,>0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
plates,Edge-wire plates,C52,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
omega,Omega strips for edge wires,G59,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
drive,Drive family,C95,,Enum,Exact enum: Pinion / Cable,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
diameter,Pinion tube diameter,C99,mm,Enum,Exact enum: 27 / 32,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
cableLocation,Cable drive location,C99,,Enum,Exact enum: Central / End,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
pipeDiameter,Drive pipe diameter,C102,mm NB,Enum,Exact enum: 25 / 32 / 50,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
across,Motor groups across,C88,count,Integer,>0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
down,Motor groups along,C89,count,Integer,>0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
spacing,Target drive spacing,C97,m,Exact decimal,>0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
droppers,Central-drive droppers,C103,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
dropPerSpan,Droppers per calculation span,C104,count,Integer,>=0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
dropPerStock,Droppers per 8 m stock,G103,count,Integer,>0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
dropStrainers,Strainers per dropper,C105,count,Integer,>=0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
dropWire,Wire per dropper,G105,m,Exact decimal,>=0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
delay,Delay units,C108,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
wallPulleys,Wall pulleys,G108,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
motors,Supply motors and switchgear,E295,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
endBeams,Supply end beams,C37,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
braces,End braces,C40,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
braceLength,Brace length,C41,m,Exact decimal,>=0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
chain,Support chain,C42,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
chainLength,Chain per span,G42,m,Exact decimal,>=0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
internalOmega,Internal omega brackets per span,C39,count,Integer,>=0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
externalOmega,External omega brackets per span,G39,count,Integer,>=0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
extraTeks,Extra LS-wire fixing screws,G38,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
tape,Double-sided tape,C75,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
tapeRolls,Tape rolls of 50 m,G75,count,Integer,>=0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
fx,Quoted exchange rate,C211,EUR/AUD,Exact decimal,>0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
discount,Materials discount,C389,%,Exact decimal,>=0; <=1000000; <=6 decimal places; <=100 percent,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
freight,Include transport,E355,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
seaCost,Sea-freight cost,G203,AUD,Exact decimal,>=0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
seaMargin,Sea-freight gross margin,C204,%,Exact decimal,>=0; <=1000000; <=6 decimal places; <100 percent,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
localCost,Local-freight cost,G208,AUD,Exact decimal,>=0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
localSell,Local-freight sell,G209,AUD,Exact decimal,>=0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
installation,Include installation,C152,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
